QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q1000480,10176,https://bildhauerei-in-berlin.de/bildwerk/vaeter-der-einheit-10176/,Väter der Einheit,"Mangin, Serge",Porträt|Denkmal,Bronze|Granit,2007-2010,"Rudi-Dutschke-Straße 2-4, Beeteinfassung vor Axel-Springer-Passage"
Q111519324,10163,https://bildhauerei-in-berlin.de/bildwerk/schmetterlingsfaenger-10163/,Schmetterlingsfänger,"Bogučevskaja, Anna",Assemblage,Stahl,1994,"Schönwalder Straße, Grünanlage an der Panke"
Q111142712,10162,https://bildhauerei-in-berlin.de/bildwerk/junger-arbeiter-10162/,Junger Arbeiter,"Sammler, Christa",Freiplastik,Bronze|Beton,1964-1968,"Am Weißen See, westlich der Freilichtbühne"
Q111524251,7818,https://bildhauerei-in-berlin.de/bildwerk/allegorie-der-malerei-7818/,Allegorie der Malerei,Unbekannt,Skulptur|Standfigur|Bauplastik,Sandstein,1749,"Schillerpark, Kinderspielplatz nahe Bristolstraße / Oxforderstraße"
Q107992516,7976,https://bildhauerei-in-berlin.de/bildwerk/mitwelt-7976/,Mitwelt,"Blümel, Karl",Freiplastik|Stele,Sandstein,1987,"Alt-Buch 41, Platz hinter dem Haupteingang des Schlossparks Buch"
Q111530623,10165,https://bildhauerei-in-berlin.de/bildwerk/claire-waldoff-denkmal-10165/,Claire Waldoff Denkmal,"Jacob, Reinhard",Porträt,Bronze|Bronze|Sandstein|Sandstein,1986,"Friedrichstraße 107, Ziegelstraße, Vorplatz Friedrichstadt-Palast"
Q111531951,10168,https://bildhauerei-in-berlin.de/bildwerk/mauern-durchbrechen-10168/,Mauern durchbrechen,"Tschapkanow, Georgi Todorow",Freiplastik|Figurengruppe,Bronze|Granit,2006,"Mauerstraße 11, Leipziger Straße, vor der bulgarischen Botschaft"
Q111535242,10156,https://bildhauerei-in-berlin.de/bildwerk/gedenktafel-robert-musil-10156/,Gedenktafel Robert Musil,,Gedenktafel,,2011,"Kurfürstendamm 217, Fasanenstraße"
Q111535782,10153,https://bildhauerei-in-berlin.de/bildwerk/dreifigurengruppe-10153/,Dreifigurengruppe,"Trenkel, Alfred Paul",Freiplastik|Abstrakte Plastik,Muschelkalk,1954,"Goebelplatz, Grünanlage"
Q111538931,10157,https://bildhauerei-in-berlin.de/bildwerk/monument-for-historical-change-10157/,Monument for Historical Change,"Clegg, Michael",Ensemble|Denkmalanlage,Gips|Kunststein|Acrylglas|Waschbeton|Stahl,2004,"Linienstraße, Weydingstraße 22"
Q111544216,8260,https://bildhauerei-in-berlin.de/bildwerk/die-gedanken-sind-frei-windplastik-8260/,Die Gedanken sind frei (Windplastik),,Kinetische Kunst|Freiplastik,Granit|Metall|Schmiedeeisen,1996,Große-Leege-Straße 21
Q111550172,6288,https://bildhauerei-in-berlin.de/bildwerk/sonnenuhr-6288/,Sonnenuhr,Unbekannt,Sonnenuhr,Muschelkalk|Stahl|Beton,1987,"Großer Tiergarten, Englischer Garten, nordwestlich des Cafés"
Q111550272,10137,https://bildhauerei-in-berlin.de/bildwerk/wassertreppe-10137/,Wassertreppe,"Uhrig, Holger",Brunnen,Beton|Mosaik,1997,"Altonaer Straße 1, links vor dem Eternithaus"
Q111562719,5026,https://bildhauerei-in-berlin.de/bildwerk/die-kugellaeuferin-5026/,Die Kugelläuferin,"Maerker, Otto",Freiplastik|Brunnenfigur,Bronze|Beton|Beton,1931-1980,"Zeltinger Platz, im Halbrund der Pergola"
Q110984862,9587,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-fuer-max-reinhardt-9587/,Büstendenkmal für Max Reinhardt,"Fitzenreiter, Wilfried",Büste|Denkmal,Beton|Bronze,1960,Schumannstraße 13A
Q111578490,10148,https://bildhauerei-in-berlin.de/bildwerk/blutenbrunnen-10148/,Blutenbrunnen,"Krickhahn, Vera",Brunnen,Kunststein|Bronze,1983,Letteplatz
Q111579250,9845,https://bildhauerei-in-berlin.de/bildwerk/franz-neumann-gedenkstein-9845/,Franz-Neumann-Gedenkstein,,Gedenkmal,Beton|Granit,1985,"Franz-Neumann-Platz, südöstliches Platzende"
Q111582537,9818,https://bildhauerei-in-berlin.de/bildwerk/fliegender-fisch-9818/,Fliegender Fisch ,"Ruegenberg, Sergius",Abstrakte Plastik,Beton,1970,"Büchsenweg 23 A, Kolumbus-Grundschule, Reinickendorf/ vor dem Schuleingang "
Q61769857,9818,https://bildhauerei-in-berlin.de/bildwerk/fliegender-fisch-9818/,Fliegender Fisch ,"Ruegenberg, Sergius",Abstrakte Plastik,Beton,1970,"Büchsenweg 23 A, Kolumbus-Grundschule, Reinickendorf/ vor dem Schuleingang "
Q111582772,9857,https://bildhauerei-in-berlin.de/bildwerk/ruhender-mann-9857/,Ruhender Mann,"Klimsch, Fritz",Freiplastik,Bronze|Muschelkalk,1925-1927,"Stargardtstraße 11-13, Bibliothek am Schäfersee, Garten"
