QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q114346678,5099,https://bildhauerei-in-berlin.de/bildwerk/la-belle-jardiniere-5099/,La Belle Jardinière,"Press, Herbert",Freiplastik|Figurengruppe|Abstrakte Plastik,Stahl,1984-1985,"Britzer Garten, Sanghauser Weg 1 "
Q114347206,5072,https://bildhauerei-in-berlin.de/bildwerk/wassersaeule-und-brunnenrueckrat-5072/,Wassersäule und Brunnenrückrat,"Ohlwein, Günter",Brunnen,Granit|Eisen|Bronze,1982,Am Markt
Q25063973,5047,https://bildhauerei-in-berlin.de/bildwerk/indischer-brunnen-5047/,Indischer Brunnen,"Matzner, Gerald",Brunnen|Brunnenfigur,Bronze|Beton|Naturstein|Mosaik,1995,"Luisenstädtischer Kanal, zwischen Oranienplatz und Engelbecken, Richtung Michaelkirchplatz"
Q114357539,5013,https://bildhauerei-in-berlin.de/bildwerk/bodenrelief-5013/,Bodenrelief,"Lonas, Joseph Henry",Brunnenfigur|Brunnen,Beton,1965-1968,Joachim-Gottschalk-Weg 12
Q114373475,4988,https://bildhauerei-in-berlin.de/bildwerk/knabe-mit-fisch-4988/,Knabe mit Fisch,"Leibküchler, Paul",Brunnen,Bronze|Ziegelstein|Kunststein|Granit|Beton,1925-1926,Kissinger Platz
Q26257059,4985,https://bildhauerei-in-berlin.de/bildwerk/fruchtbarkeitsbrunnen-4985/,Fruchtbarkeitsbrunnen,"Lederer, Hugo",Brunnen|Brunnenfigur,Porphyr|Brunnentechnik,1927-1934,Arnswalder Platz
Q114406727,4978,https://bildhauerei-in-berlin.de/bildwerk/schwebender-ring-4978/,Schwebender Ring,"Kühn, Fritz",Brunnen,Beton|Kunststein|Stahl|Kupferblech|Kupferblech|Gold,1967,Strausberger Platz
Q114408813,4975,https://bildhauerei-in-berlin.de/bildwerk/wasserglocke-4975/,Wasserglocke,,Brunnen,Beton|Steinzeug|Granit|Granit|Stahl|Edelstahl,1973,"Volkspark Friedrichshain, östlicher Teil"
Q1958496,4974,https://bildhauerei-in-berlin.de/bildwerk/muehlenradbrunnen-4974/,Mühlenradbrunnen,"Kühn, Achim",Brunnen,Eisen,1986,"Am Mühlengrund, Ecke Rotkamp 2"
Q112115083,4957,https://bildhauerei-in-berlin.de/bildwerk/tritonbrunnen-4957/,Tritonbrunnen,"Kopf, Josef von",Brunnen,Marmor|Zement,1886-1888,"Großer Tiergarten, John-Foster-Dulles-Allee, Großfürstenplatz"
Q114425615,4944,https://bildhauerei-in-berlin.de/bildwerk/cuvrybrunnen-4944/,Cuvrybrunnen,"Kluge, Silvia",Brunnen,Stein|Beton|Klinker|Steinzeug|Metall,1983-1984,"Cuvrystraße, Ecke Wrangelstraße"
Q114434809,4927,https://bildhauerei-in-berlin.de/bildwerk/keramikbrunnen-4927/,Keramikbrunnen,"Kaiser, Rudolf",Brunnen,Steinzeug|Kunststein|Klinker|Brunnentechnik,1974-1976,"Frankfurter Allee 144, Ecke Schulze-Boysen-Straße"
Q114454793,4898,https://bildhauerei-in-berlin.de/bildwerk/genoveva-brunnen-4898/,Genoveva-Brunnen,"Hosaeus, Hermann",Brunnen|Brunnenfigur,Muschelkalk|Brunnentechnik|Metall,1928,"Harriesstraße 8-10, in der Siedlung Siemensstadt"
Q114455312,4895,https://bildhauerei-in-berlin.de/bildwerk/wasserskulptur-4895/,Wasserskulptur,"Hölzinger, Johannes P.",Brunnen,Metall,1968,"Rotraut-Richter-Platz, U-Bahnhof Wutzkyallee, Gropiusstadt"
Q114457213,4878,https://bildhauerei-in-berlin.de/bildwerk/fontanebrunnen-4878/,Fontanebrunnen,"Hennig, Hans-Detlev",Brunnen,Bronze|Beton|Brunnentechnik|Metall|Basalt|Granit,1982,"Erich Kurz-Straße 7-9, Dathepromenade"
Q2594374,4840,https://bildhauerei-in-berlin.de/bildwerk/wrangelbrunnen-4840/,Wrangelbrunnen,"Hagen, Hugo",Brunnen,Granit|Marmor|Bronze,1862-1877,"Grimmstraße, Ecke Urbanstraße"
Q1957380,4778,https://bildhauerei-in-berlin.de/bildwerk/maerchenbrunnen-4778/,Märchenbrunnen,"Geyger, Ernst-Moritz",Brunnen|Architektur,Muschelkalk|Kalkstein|Bronze|Kupferblech|Brunnentechnik|Lichttechnik|Beton,1915-1918,"Sonnenallee, Von der Schulenburg-Park"
Q114515519,4777,https://bildhauerei-in-berlin.de/bildwerk/eva-brunnen-nachschoepfung-4777/,Eva-Brunnen (Nachschöpfung),,Brunnen,Porphyr|Porphyr|Bronze,1987,"Alt-Tempelhof, Mittelpromenade-West (Dorfaue)"
Q114555857,4773,https://bildhauerei-in-berlin.de/bildwerk/entenbrunnen-4773/,Entenbrunnen,"Gaul, August",Brunnen|Brunnenfigur,Bronze|Muschelkalk,1911,"Knesebeckstraße 100, Hardenbergstraße, vor dem Renaissance-Theater"
Q114563439,5717,https://bildhauerei-in-berlin.de/bildwerk/baerenbrunnen-5717/,Bärenbrunnen,"Lipman-Wulf, Peter",Brunnen,Muschelkalk|Brunnentechnik,1930,"Schaffhausener Straße, Bacharacher Straße, Oberlandstraße, Wohnanlagen Germaniagarten, Oberlandgarten"
