QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q112965661,8323,https://bildhauerei-in-berlin.de/bildwerk/bisonstier-8323/,Bisonstier,"Rohde, Dietrich",Tierfigur|Freiplastik,Bronze|Beton,1961-1962,"Am Tierpark 125, Tierpark, nahe U-Bahnhof-Tierpark v. d. Einfassungsmauer d. Tierparks"
Q112971385,6088,https://bildhauerei-in-berlin.de/bildwerk/gedenkstele-fuer-wilhelm-leuschner-6088/,Gedenkstele für Wilhelm Leuschner,"Otto, Waldemar",Denkmal|Gedenkmal|Gedenkstele,Bronze,1986,"Eisenbahnstraße 5, vor dem Haus auf dem Bürgersteig, gegenüber der Markthalle"
Q112974918,6086,https://bildhauerei-in-berlin.de/bildwerk/gedenkstele-fuer-wilhelm-lehmann-6086/,Gedenkstele für Wilhelm Lehmann,"Langhans, Nicolaus",Gedenkstele|Denkmal,Marmor|Bronze,1990,Mariannenplatz
Q112975381,6086,https://bildhauerei-in-berlin.de/bildwerk/gedenkstele-fuer-wilhelm-lehmann-6086/,Gedenkstele für Wilhelm Lehmann,"Langhans, Nicolaus",Gedenkstele|Denkmal,Marmor|Bronze,1990,Mariannenplatz
Q112976636,6084,https://bildhauerei-in-berlin.de/bildwerk/gefallenendenkmal-6084/,Gefallenendenkmal,Unbekannt,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Sandstein|Bronze,1920,"Mariannenplatz, Ecke Bethaniendamm"
Q112980924,6072,https://bildhauerei-in-berlin.de/bildwerk/waldeck-denkmal-6072/,Waldeck-Denkmal,"Walger, Heinrich",Denkmal,Marmor|Marmor|Granit,1889,"Oranienstraße, Waldeckpark"
Q112996289,6066,https://bildhauerei-in-berlin.de/bildwerk/ullstein-6066/,Ullstein-Eule,,Denkmal|Bauplastik,Sandstein|Kunststein,1912-1966,"Rudi-Dutschke-Straße 2-4, Beeteinfassung vor Axel-Springer-Passage "
Q60321508,6059,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-felix-mendelssohn-bartholdy-6059/,Gedenkstein für Felix Mendelssohn-Bartholdy,"Breuker, Ivo",Denkmal,Granit,1967,"Mendelssohn-Bartholdy-Platz, Hafenplatz"
Q113006156,5815,https://bildhauerei-in-berlin.de/bildwerk/rilke-monument-5815/,Rilke-Monument,"Vochta, Miroslav",Denkmal|Stele,Granit,2007,"Prager Platz, Ecke Trautenaustraße"
Q113008535,5812,https://bildhauerei-in-berlin.de/bildwerk/denkmal-hl-ludwig-und-seine-gattin-margarete-5812/,Denkmal Hl. Ludwig und seine Gattin Margarete,,Denkmal|Figurengruppe,Sandstein|Granit,1984,"Ludwigkirchplatz, Grünanlage vor der St. Ludwig-Kirche"
Q113017980,5719,https://bildhauerei-in-berlin.de/bildwerk/kriegerehrenmal-5719/,Kriegerehrenmal,Unbekannt,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Muschelkalk|Metall|Muschelkalk,1923,"Friedenstraße 12-14, Ev. Friedhof II"
Q113026908,5687,https://bildhauerei-in-berlin.de/bildwerk/adlerkopf-5687/,Adlerkopf,"Lemcke, Walter E.",Denkmal|Spolie,Stahl|Waschbeton,1940-1985,"Platz der Luftbrücke 5, „Eagle-Square“, Platz vor dem Haupteingang zum Flughafen Tempelhof"
Q113027769,5677,https://bildhauerei-in-berlin.de/bildwerk/erinnerungsstele-fuer-georg-herrmann-5677/,Erinnerungsstele für Georg Herrmann,"Scherhag, Alois Hans",Denkmal,Sandstein,1962,"Stubenrauchstr. 5-6, Bundesallee 108, Garten"
Q113028064,5673,https://bildhauerei-in-berlin.de/bildwerk/luther-bismark-stele-5673/,Luther-Bismark-Stele,Unbekannt,Denkmal,Sandstein|Granit,1903,"Handjerystraße 95-97, im Bereich des Seiteneinganges der Friedrich-Bergius-Oberschule Schöneberg"
Q113029415,5673,https://bildhauerei-in-berlin.de/bildwerk/luther-bismark-stele-5673/,Luther-Bismark-Stele,Unbekannt,Denkmal,Sandstein|Granit,1903,"Handjerystraße 95-97, im Bereich des Seiteneinganges der Friedrich-Bergius-Oberschule Schöneberg"
Q113044474,5614,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-zur-errichtung-des-insulaners-5614/,"Gedenkstein zur Errichtung des ""Insulaners""",Unbekannt,Gedenkstein|Denkmal,Kunststein,1951,"Prellerweg, Munsterdamm, auf dem Insulaner, am Kreuzungsweg zwischen Rodelbahnkuppe und Sternwarte"
Q61769123,5603,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-5603/,Kriegerdenkmal,,Kriegerdenkmal|Gefallenendenkmal|Architektur|Denkmal,Kalkstein|Kunststein|Schmiedeeisen|Schmiedeeisen,1919-1926,"Gemeindepark Lankwitz, auf der Kuppe des Rodelberges"
Q32305694,5595,https://bildhauerei-in-berlin.de/bildwerk/lilienthal-denkmal-5595/,Lilienthal-Denkmal,"Breuer, Peter",Denkmal,Porphyr|Sandstein|Bronze|Stahl,1912-1914|1948|2011-2012,"Bäkestraße, Park am Teltowkanal"
Q32653646,5093,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-alois-senefelder-5093/,Denkmal für Alois Senefelder,"Pohle, Rudolf",Denkmal|Skulptur,Marmor|Granit|Klinker,1892,Senefelder Platz
Q113056292,5588,https://bildhauerei-in-berlin.de/bildwerk/feuerwerkerdenkmal-5588/,Feuerwerkerdenkmal,"Voelkel, Alwin",Gedenkmal|Denkmal|Kriegerdenkmal,Kupferblech|Bronze|Granit|Eisen,1925,"Gardeschützenweg 78, Garten zwischen den ehemaligen Kasernengebäuden"
