QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q109587171,6963,https://bildhauerei-in-berlin.de/bildwerk/gedenkmal-fuer-widerstandskaempfer-6963/,Gedenkmal für Widerstandskämpfer,"Richter, Werner",Denkmal|Erinnerungsmal|Mahnmal,Kunststein,1977,"Dörpfeldstraße, Nipkowstraße, gegenüber dem Marktplatz"
Q105045256,6957,https://bildhauerei-in-berlin.de/bildwerk/das-vermaechtnis-des-kaempfers-6957/,Das Vermächtnis des Kämpfers,"Kies, Hans",Denkmal|Erinnerungsmal,Bronze|Granit,1970,"Friedlander Straße 148, Zur Holzoper 19, Friedhof Adlershof – Neuer Teil (Waldfriedhof Adlershof)"
Q111390062,6953,https://bildhauerei-in-berlin.de/bildwerk/leben-6953/,Leben,"Worner, Heinz",Erinnerungsmal|Freiplastik,Kunststein|Bronze|Granit,1973-1974,"Hartriegelstraße 77, Grünanlage links neben der Kreativ-Grundschule und Kita"
Q111395533,7196,https://bildhauerei-in-berlin.de/bildwerk/zur-geschichte-der-deutschen-arbeiterbewegung-gewidmet-ernst-knaak-und-siegmund-sredzki-7196/,Zur Geschichte der deutschen Arbeiterbewegung - gewidmet Ernst Knaack und Siegmund Sredzki,"Worner, Heinz",Denkmal,Sandstein,1980-1981,"Knaackstraße 53-67, Horthaus der 4. Grundschule am Kollwitzplatz, Vorgarten"
Q111395745,6915,https://bildhauerei-in-berlin.de/bildwerk/denkmal-an-den-sport-und-turn-vereinfichte-und-seinen-sportplatz-6915/,"Denkmal an den Sport- und Turn-Verein ""Fichte"" und seinen Sportplatz","Stötzer, Renate",Denkmal|Erinnerungsmal,Beton|Edelstahl|Sandstein,1978,"Eichbuschallee 30, Vorgarten"
Q111397025,6802,https://bildhauerei-in-berlin.de/bildwerk/erinnerungsmal-fuer-marianne-von-schmettau-6802/,Erinnerungsmal für Marianne von Schmettau,Unbekannt,Erinnerungsmal|Denkmal|Gedenkmal,Sandstein,1778,"Schlossinsel Köpenick, südwestliche Seite"
Q111398039,6659,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-friedrich-friesen-6659/,Gedenkstein für Friedrich Friesen,Unbekannt,Gedenkstein|Erinnerungsmal,Granit|Farbe,1878,"Volkspark Hasenheide, Platzanlage mit Spieltischen in der Verlängerung der Karlsgartenstraße und der Fontanestraße"
Q109507891,6650,https://bildhauerei-in-berlin.de/bildwerk/sorgende-frau-6650/,Sorgende Frau,"Cremer, Fritz",Freiplastik|Erinnerungsmal,Bronze,1948,"Lilienthalstraße 7, Landeseigener Friedhof Lilienthalstraße, Innenraum der Krypta der Gedenkhalle vor der Trauerhalle"
Q111416440,6639,https://bildhauerei-in-berlin.de/bildwerk/algorythmus-fuer-burak-und-aehnliche-faelle-6639/,Algorythmus für Burak und ähnliche Fälle,"Delibalta, Zeynep",Erinnerungsmal,Bronze,2017-2018,"Rudower Straße, Ecke Möwenweg"
Q111421192,6410,https://bildhauerei-in-berlin.de/bildwerk/de-gaulles-adenauer-6410/,De Gaulles-Adenauer,"Chauvinière-Riant, Chantal de la",Denkmal|Erinnerungsmal|Stele,Bronze|Bronze|Beton,2002,"Tiergartenstraße, Ecke Klingelhöferstraße, vor der Konrad-Adenauer-Stiftung"
Q111423045,6265,https://bildhauerei-in-berlin.de/bildwerk/die-mitteilung-6265/,Die Mitteilung,"Seibert, Georg",Gedenkstele|Denkmal|Erinnerungsmal,COR-TEN-Stahl|Stahl|Beton,1993-1994,"Spreeuferwanderweg gegenüber dem Moabiter Werder, westlich des „Haus der Kulturen der Welt“"
Q111429773,6083,https://bildhauerei-in-berlin.de/bildwerk/synagogen-gedenkstein-6083/,Synagogen-Gedenkstein,"Lengfeld, Cornelia",Gedenkmal|Erinnerungsmal|Denkmal,Muschelkalk|Aluminium,1988,"Fraenkelufer 10, vor der Synagoge"
Q111432629,6430,https://bildhauerei-in-berlin.de/bildwerk/erbaut-in-den-jahren-der-not-6430/,Erbaut in den Jahren der Not,Unbekannt,Gedenkstein|Erinnerungsmal,Stein,1950-1951,Carl-von-Ossietzky-Park
Q111438804,5520,https://bildhauerei-in-berlin.de/bildwerk/garbaty-denkzeichen-5520/,Garbáty-Denkzeichen,"Ahner, Susanne",Installation|Erinnerungsmal,Stahl,2002,"Garbáty-Platz, gegenüber S- und U-Bahnhof Pankow"
Q2457242,5280,https://bildhauerei-in-berlin.de/bildwerk/truemmerfrau-5280/,Trümmerfrau,"Szelinski-Singer, Katharina",Denkmal|Erinnerungsmal|Standbild|Ensemble,Muschelkalk,1955,"Volkspark Hasenheide, in der Nähe vom Eingang Graefestraße"
Q111494917,4899,https://bildhauerei-in-berlin.de/bildwerk/tod-des-demonstranten-4899/,Tod des Demonstranten,"Hrdlicka, Alfred",Erinnerungsmal|Relief,Bronze|Beton,1971-1990,"Bismarckstraße, neben der Deutschen Oper"
Q111503502,4593,https://bildhauerei-in-berlin.de/bildwerk/rousseau-saeule-4593/,Rousseau-Säule,"Anlauf, Günter",Denkmal|Erinnerungsmal|Gedenkstele,Sandstein,1987,"Großer Tiergarten, Rousseauinsel, östl. Hofjägerallee, gegenüber Lortzing-Denkmal"
Q111506740,10177,https://bildhauerei-in-berlin.de/bildwerk/seventies-10177/,Seventies,,Skulptur,Holz|Gold|Eisen,2021,"Alte Jakobstraße 130, Vorgarten Wohnhaus, gegenüber der Berlinischen Galerie "
Q111507403,10173,https://bildhauerei-in-berlin.de/bildwerk/weiblicher-akt-10173/,Weiblicher Akt,"Lerche, Walter",Freiplastik|Aktdarstellung,Bronze|Kunststein|Waschbeton,1965,"Möllhausenufer, Ecke Wendenschloßstraße, Grünanlage"
Q111510507,10178,https://bildhauerei-in-berlin.de/bildwerk/marie-juchacz-denkmal-10178/,Marie-Juchacz-Denkmal,"Winner, Gerd",Denkmal|Denkmalanlage,Stahl|Pflastersteine|Lichtstrahler,2017,"Gitschinerstraße, südöstlich des Mehringplatz, auf dem Grünstreifen am Halleschen Tor"
