QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q108250920,9733,https://bildhauerei-in-berlin.de/bildwerk/stillleben-gedeckter-tisch-9733/,Stillleben Gedeckter Tisch,"Pansowová, Emerita",Brunnen|Brunnenfigur,Bronze,1982,"Marchwitzastraße 43-45, Allee der Kosmonauten 58, Fußgängerüberführung"
Q108443965,9729,https://bildhauerei-in-berlin.de/bildwerk/die-begegnung-spruehtuerme-9729/,Die Begegnung–Sprühtürme,"Dräger, Ajit Kai",Skulptur|Brunnen,Granit|Kalkstein|Stahl|Ziegelstein,1995,Cecilienplatz
Q108172322,9720,https://bildhauerei-in-berlin.de/bildwerk/sitzbrunnen-9720/,Sitzbrunnen,"Winkler, Rolf",Brunnen,Ziegelstein|Klinker|Edelstahl,1983,"Marchwitzastraße 25, Biesdorfer Promenade"
Q113459141,9582,https://bildhauerei-in-berlin.de/bildwerk/waescherin-9582/,Wäscherin,"Möpert, Karl-Günter",Brunnen,Sandstein,1982,"Müggelheiemrstraße 1, Uferpromenade am Frauentog"
Q151785,8565,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-im-nationalsozialismus-ermordeten-sinti-und-roma-europas-8565/,Denkmal für die im Nationalsozialismus ermordeten Sinti und Roma Europas,"Karavan, Dani",Denkmalanlage|Brunnen,Stahl|Beton|Naturstein|Glas|Naturmaterial|Wasser|Brunnentechnik|Farbe,2012,"Großer Tiergarten, Simsonweg, südlich des Reichstagsgebäudes (Bundestag)"
Q1566406,8526,https://bildhauerei-in-berlin.de/bildwerk/jubilaeumsbrunnen-8526/,Jubiläumsbrunnen,"Breitkopf-Cosel, Josef",Brunnen,Muschelkalk|Brunnentechnik,1925,"Bondickstraße 14, Ecke Hochjagdstraße, Garten der Königin-Luise-Kirche"
Q113459770,8524,https://bildhauerei-in-berlin.de/bildwerk/st-georg-brunnen-8524/,St.Georg-Brunnen,,Brunnen,Muschelkalk|Granit|Metall|Brunnentechnik,1903-1909,"Wilmersdorfer Straße, Ecke Mommsenstraße, Hindemithplatz"
Q113460475,8436,https://bildhauerei-in-berlin.de/bildwerk/korallenplastik-8436/,Korallenplastik,"Mau, Toni",Brunnen,Beton|Glas|Stahl|Waschbeton,1975-1979,"Möllendorfstraße, Storkower Straße"
Q113462610,8435,https://bildhauerei-in-berlin.de/bildwerk/troepfelbrunnen-8435/,Tröpfelbrunnen,"Hunger, Konrad",Brunnen,Granit|Naturstein,1984-1987,"Josef-Orlopp-Straße, Feierabendheim, Garten"
Q113471584,8386,https://bildhauerei-in-berlin.de/bildwerk/brunnen-mit-sitzendem-knaben-8386/,Brunnen mit sitzendem Knaben,"Kobbert, Erwin",Brunnen|Brunnenfigur,Kunststein|Granit|Brunnentechnik,1952-1956,"Gudrunstraße 20, Zentralfriedhof Friedrichsfelde, Abt. Heide"
Q113481559,8383,https://bildhauerei-in-berlin.de/bildwerk/moewenbrunnen-8383/,Möwenbrunnen,"Rohde, Dietrich",Brunnen|Brunnenfigur|Tierfigur|Figurengruppe,Bronze|Naturstein,1967,"Am Tierpark 125, Tierpark Friedrichsfelde, bei der Küstenvögel-Voliere"
Q113483020,8381,https://bildhauerei-in-berlin.de/bildwerk/hechtgruppe-8381/,Hechtgruppe,"Sutkowski, Walter",Brunnen|Brunnenfigur|Tierfigur|Figurengruppe,Bronze,1959,"Am Tierpark 125, Tierpark Friedrichsfelde, am Geflügelgraben, rundes östliches Kopfstück des Grabens nahe einer Brücke"
Q113483219,8380,https://bildhauerei-in-berlin.de/bildwerk/brunnen-mit-fontaene-8380/,Brunnen mit Fontäne,,Brunnen,Sandstein|Brunnentechnik,1955-1956,"Am Tierpark 125, Tierpark Friedrichsfelde, Südparterre am Schloß Friedrichsfelde"
Q113483515,8374,https://bildhauerei-in-berlin.de/bildwerk/maerkischer-brunnen-8374/,Märkischer Brunnen,"Wartenberg, Christiane",Brunnen,Steinzeug|Klinker|Beton|Brunnentechnik,1978-1980,"Am Tierpark, gegenüber dem Bärenschaufenster des Tierparks Friedrichsfelde auf der anderen Straßenseite"
Q113485277,8370,https://bildhauerei-in-berlin.de/bildwerk/kleiner-brunnen-8370/,Kleiner Brunnen,,Brunnen,Sandstein,1987,Alfred-Kowalke-Straße
Q113486621,8371,https://bildhauerei-in-berlin.de/bildwerk/keramikbrunnen-8371/,Keramikbrunnen,"Karnopp, Jürgen",Brunnen,Steinzeug|Steinzeug|Metall,1981,"Friedrichsfelde, Alt Friedrichsfelde 99"
Q113487376,8295,https://bildhauerei-in-berlin.de/bildwerk/findlingsbrunnen-8295/,Findlingsbrunnen,"Rudolph, Lutz",Brunnen,Granit|Edelstahl,1978,"Herzbergstraße 87-99, Ecke Siegfriedstraße"
Q113489090,8292,https://bildhauerei-in-berlin.de/bildwerk/wasserwand-8292/,Wasserwand,"Karnopp, Jürgen",Brunnen|Architektur,Klinker|Steinzeug|Holz|Metall,1984,"Anton-Saefkow-Platz, Karl-Lade-Straße, gegenüber der Rudolf-Seiffert-Str. 17"
Q113489272,8289,https://bildhauerei-in-berlin.de/bildwerk/kugelbrunnen-8289/,Kugelbrunnen,"Karnopp, Jürgen",Brunnen,Steinzeug|Klinker|Kunststein|Metall,1984,"Fennpfuhl, Anton-Saefkow-Platz, Boulevardbereich (Promenade)"
Q113494612,8287,https://bildhauerei-in-berlin.de/bildwerk/findling-8287/,Findling,"Scholz, Lothar",Brunnen,Granit|Beton,1983-1984,"Anton-Saefkow-Platz, Boulevardbereich (Promenade)"
