QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q114737321,4598,https://bildhauerei-in-berlin.de/bildwerk/ammonitenbrunnen-4598/,Ammonitenbrunnen,"Bartsch, Volker",Brunnen,Schiefer|Bronze|Granit,1987,"Olof-Palme-Platz, Ecke Budapester Straße 32 vor dem Aquarium am Elefantentor"
Q114740691,4596,https://bildhauerei-in-berlin.de/bildwerk/brunnen-der-jugend-4596/,Brunnen der Jugend,"Baldamus, Senta",Brunnen,Bronze,2002,"Wartenberger Straße, Ecke Wustrower Straße"
Q114756446,7365,https://bildhauerei-in-berlin.de/bildwerk/kopf-7365/,Kopf,"Topaz, Gil",Freiplastik,,,"Köpenicker Straße 325, Straße am Wald, Innovationspark Wuhlheide, Haus 11"
Q114757990,8078,https://bildhauerei-in-berlin.de/bildwerk/polytechnischer-unterricht-8078/,Polytechnischer Unterricht,"Damerow, Erwin",Freiplastik|Figurengruppe|Genrefigur,Bronze,1962,"Hoernlestraße 80, auf der Grünfläche beim Eingang der Merianschule"
Q114771293,7884,https://bildhauerei-in-berlin.de/bildwerk/reihergruppe-7884/,Reihergruppe,"Hennig, Hans-Detlev",Freiplastik|Tierfigur|Figurengruppe,Stein|Bronze,1960-1969,"Oranienburger Straße, Monbijoupark"
Q114775040,9767,https://bildhauerei-in-berlin.de/bildwerk/sieben-gesten-des-aufrechten-ganges-9767/,Sieben Gesten des aufrechten Ganges,"Grzimek, Sabina",Ensemble|Freiplastik,Bronze|Beton,1996,"Garnisonkirchplatz, nördlicher Rand"
Q114778028,9765,https://bildhauerei-in-berlin.de/bildwerk/grosse-palucca-9765/,Große Palucca,"Pansowová, Emerita",Freiplastik,Bronze|Klinker,2009-2010,"Garnisonkirchplatz, südlicher Bereich"
Q114778503,9766,https://bildhauerei-in-berlin.de/bildwerk/lumumba-9766/,Lumumba,"Wiegmann Mucchi, Jenny",Freiplastik,Bronze|Beton,1961,"Garnisonkirchplatz, südlicher Rand"
Q105045437,8259,https://bildhauerei-in-berlin.de/bildwerk/loewen-gruppe-ii-8259/,Löwen-Gruppe II,"Gaul, August",Tierfigur|Figurengruppe|Spolie,Bronze|Naturstein,1892-1897,"Am Tierpark 125, Tierpark Friedrichsfelde"
Q114795924,4771,https://bildhauerei-in-berlin.de/bildwerk/loewen-gruppe-i-4771/,Löwen-Gruppe I,"Gaul, August",Tierfigur|Spolie,Bronze|Naturstein,1892-1897,"Am Tierpark 125, Tierpark Friedrichsfelde, westlich und östlich vor dem Alfred-Brehm-Haus"
Q114795968,8259,https://bildhauerei-in-berlin.de/bildwerk/loewen-gruppe-ii-8259/,Löwen-Gruppe II,"Gaul, August",Tierfigur|Figurengruppe|Spolie,Bronze|Naturstein,1892-1897,"Am Tierpark 125, Tierpark Friedrichsfelde"
Q32689091,7888,https://bildhauerei-in-berlin.de/bildwerk/klio-7888/,Klio,"Wolff, Albert",Standfigur|Spolie,Bronze,1873-1876,"Rechts neben dem Eingang, Nicolaikirche, Nicolai-Viertel"
Q114802311,7880,https://bildhauerei-in-berlin.de/bildwerk/vase-mit-schmuckurne-7880/,Vase mit Schmuckurne,,Spolie|Bauplastik,Sandstein,1750-1800,"Märkisches Ufer, Grünanlage gegenüber dem Köllnischen Park bzw. des Märkischen Museums"
Q114809870,7810,https://bildhauerei-in-berlin.de/bildwerk/orpheus-7810/,Orpheus,"Herter, Ernst",Bauplastik|Brunnenfigur|Figurengruppe|Spolie,Sandstein,1902,Eckernförder Platz
Q114815571,5820,https://bildhauerei-in-berlin.de/bildwerk/klinkerwidder-5820/,Klinkerwidder,Unbekannt,Freiplastik|Tierfigur,Klinker,1926-1928,"Rudolstädter Straße 99/115, Grünanlage vor einer Wohnanlage"
Q114827021,7093,https://bildhauerei-in-berlin.de/bildwerk/versunkener-tempel-7093/,Versunkener Tempel,,Spolie|Ensemble,Marmor|Kalkstein|Porphyr|Klinker,1849-1850,"Zehlendorf, Klein-Glienicke, Schlosspark Klein-Gienicke, Pleasureground"
Q114833184,6930,https://bildhauerei-in-berlin.de/bildwerk/portraitrelief-carl-friedrich-spaeth-ii-6930/,Portraitrelief Carl Friedrich Spaeth II,Unbekannt,Relief|Bauplastik|Spolie,Sandstein|Beton|Eisen,1874-1890,"Späthstraße 80-81, Arboretum, Quartier 29/22 am Ende eines kleinen Seitenweges"
Q114834025,5644,https://bildhauerei-in-berlin.de/bildwerk/genius-mit-fackel-5644/,Genius mit Fackel,"Wolff, Albert",Allegorie|Spolie,Bronze|Ziegelstein|Sandstein,1873-1876,"Potsdamer Straße, Heinrich-von-Kleist-Park, hinter den Königskolonnaden"
Q114837827,5642,https://bildhauerei-in-berlin.de/bildwerk/melpomene-5642/,Melpomene,"Ebenhech, Georg Franz",Bauplastik|Spolie|Allegorie,Sandstein|Kunststein|Beton,1749,"Kleistpark, Südseite des Parks"
Q114839171,5390,https://bildhauerei-in-berlin.de/bildwerk/der-schlaf-5390/,Der Schlaf,"Hosaeus, Hermann",Grabfigur|Spolie,Granit,1912|1969,"Eisackstraße 40a, I. Städtischer Friedhof Schöneberg, Abteilung 11, am südlichen Ende"
