QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q113059780,5587,https://bildhauerei-in-berlin.de/bildwerk/denkmal-koeniglich-preussisches-kadettenkorps-5587/,Denkmal königlich Preußisches Kadettenkorps,"Spilker, Heinz",Denkmal,Granit|Metall,1980,"Paulinenstraße, Ecke Kadettenweg, Grünanlage"
Q107529086,5515,https://bildhauerei-in-berlin.de/bildwerk/maedchen-mit-spielelementen-froebel-gewidmet-5515/,"Mädchen mit Spielelementen, Fröbel gewidmet","Klein, Michael",Denkmal|Freiplastik,Bronze|Marmor,1980-1982,Fröbelplatz
Q64504055,5503,https://bildhauerei-in-berlin.de/bildwerk/albert-und-einstein-5503/,Albert und Einstein,"Schwarzbach, Anna Franziska",Denkmal|Freiplastik,Beton|Granit|Bronze,1997-1998,Einsteinpark
Q113086438,5499,https://bildhauerei-in-berlin.de/bildwerk/heinrich-schliemann-5499/,Heinrich Schliemann,"Sammler, Christa",Denkmal|Relief,Sandstein|Bronze|Beton,1978-1981,"Dunckerstraße 64, auf dem Hof des Schliemann-Gymnasiums"
Q110995562,5492,https://bildhauerei-in-berlin.de/bildwerk/till-eulenspiegel-5492/,Till Eulenspiegel,"Horota, Stephan",Freiplastik|Denkmal,Bronze|Waschbeton,1975-1978,"Buschallee 88, Fläche neben einem Supermarkt"
Q22330292,5452,https://bildhauerei-in-berlin.de/bildwerk/denkmal-alexander-von-humboldt-5452/,Denkmal Alexander von Humboldt,"Blaeser, Gustav Hermann",Denkmal|Freiplastik,Bronze,1878-1999,"Budapesterstr. 31, vor dem Alexander von Humboldt Haus"
Q77924087,5447,https://bildhauerei-in-berlin.de/bildwerk/portraet-erwin-negelein-5447/,Porträt Erwin Negelein,"Grzimek, Sabina",Denkmal|Büste,Bronze|Bronze|Beton,1998,"Robert-Rössle-Straße 10, Max-Delbrück-Centrum, Campus Berlin-Buch"
Q107425214,5421,https://bildhauerei-in-berlin.de/bildwerk/clara-zetkin-denkmal-5421/,Clara Zetkin-Denkmal,"Thieme, Gerhard",Denkmal|Standfigur,Bronze|Stein,1986-1987,Wittenberger Straße im Clara-Zetkin-Park
Q2148898,5372,https://bildhauerei-in-berlin.de/bildwerk/wagnerdenkmal-5372/,Wagnerdenkmal,"Eberlein, Heinrich Gustav",Denkmal,Marmor|Mauerwerk,1901-1903,"Tiergartenstraße, Großer Tiergarten, Süd"
Q24976693,5323,https://bildhauerei-in-berlin.de/bildwerk/moltke-denkmal-5323/,Moltke-Denkmal,"Uphues, Joseph",Denkmal|Standbild,Marmor,1904-1905,"Großer Tiergarten, Großer Stern, Nordostseite"
Q113124796,5316,https://bildhauerei-in-berlin.de/bildwerk/von-der-dicken-berta-zur-roten-rosa-5316/,Von der Dicken Berta zur Roten Rosa,"Tumarkin, Igael",Denkmal|Freiplastik,Stahl|Beton,1984-1989,"Bundesallee, Hohenzollerndamm, auf dem Mittelstreifen"
Q113125592,5297,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-mit-kogge-5297/,Gedenkstein mit Kogge,"Wenke, Karl",Gedenkmal|Denkmal|Gedenkstele|Stele|Erinnerungsmal,Muschelkalk|Beton,1950,"Großer Tiergarten, Bremer Weg"
Q105045372,5275,https://bildhauerei-in-berlin.de/bildwerk/schildhorndenkmal-5275/,Schildhorndenkmal,,Denkmal,Sandstein|Bronze|Granit|Kunststein,1841-1845,"Havelchaussee, Nordwesthang der Halbinsel Schildhorn"
Q113163046,5250,https://bildhauerei-in-berlin.de/bildwerk/steinbock-5250/,Steinbock,"Spilker, Heinz",Tierfigur|Denkmal,Bronze|Bronze,1967-1968,"Bocksfeldstraße, Wochenendsiedlung Bocksfelde, auf dem zentralen, sog. \Königsplatz\"""""
Q814127,5236,https://bildhauerei-in-berlin.de/bildwerk/haydn-mozart-beethoven-denkmal-5236/,Haydn-Mozart-Beethoven-Denkmal,"Siemering, Rudolf",Denkmal,Mauerwerk|Marmor|Granit|Bronze|Galvanobronze|Galvanobronze,1898-1904,Großer Tiergarten Süd
Q113165423,5235,https://bildhauerei-in-berlin.de/bildwerk/heilige-gertrud-5235/,Heilige Gertrud,"Siemering, Rudolf",Genrefigur|Denkmal|Bauplastik,Bronze,1895-1896,"Gertraudenbrücke, Kleine Kurstraße, Ecke Oberwasserstraße"
Q1639828,5232,https://bildhauerei-in-berlin.de/bildwerk/kaethe-kollwitz-denkmal-5232/,Käthe-Kollwitz-Denkmal,"Seitz, Gustav",Denkmal,Muschelkalk|Bronze,1956-1958,Kollwitz-Platz
Q113171496,5232,https://bildhauerei-in-berlin.de/bildwerk/kaethe-kollwitz-denkmal-5232/,Käthe-Kollwitz-Denkmal,"Seitz, Gustav",Denkmal,Muschelkalk|Bronze,1956-1958,Kollwitz-Platz
Q21130084,5212,https://bildhauerei-in-berlin.de/bildwerk/reiterstandbild-des-grossen-kurfuersten-5212/,Reiterstandbild des Großen Kurfürsten,"Schlüter, Andreas",Denkmal,Bronze|Marmor,1697-1709,"Schloss Charlottenburg, Ehrenhof"
Q819820,5177,https://bildhauerei-in-berlin.de/bildwerk/denkmal-der-befreiungskriege-5177/,Denkmal der Befreiungskriege,"Rauch, Christian Daniel",Denkmal,Eisen|Klinker|Sandstein|Granit,1814-1821,Viktoriapark
