QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q113954907,6300,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-aus-granit-6300/,Schalenbrunnen aus Granit,,Brunnen,Granit,1840-1866,"Großer Tiergarten, Rosengarten"
Q113957284,5822,https://bildhauerei-in-berlin.de/bildwerk/baerenbrunnen-5822/,Bärenbrunnen,Unbekannt,Brunnen|Brunnenfigur,Muschelkalk|Kunststein,,"Forckenbeckstraße 14, Sommerbad Wilmersdorf"
Q113958120,5817,https://bildhauerei-in-berlin.de/bildwerk/mutter-kind-brunnen-5817/,Mutter-Kind-Brunnen,"Hasemann, Arminius",Brunnen,Muschelkalk|Bronze|Metall,1927-1939,"Rauenthaler Straße, Vorgarten, gegenüber der Einmündung der Ahrweiler Straße"
Q110551156,5804,https://bildhauerei-in-berlin.de/bildwerk/wasserstele-5804/,Wasserstele,"Lieberknecht, Rolf",Brunnen|Abstrakte Plastik|Stele,Stahl|Eisen|Glas,1989,"Fasanenplatz, Westseite"
Q113969650,5729,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5729/,Brunnen,Unbekannt,Brunnen,Beton|Metall,1995,"Alt-Marienfelde 15, Gut Marienfelde, Garten"
Q113990161,5675,https://bildhauerei-in-berlin.de/bildwerk/sintflutbrunnen-5675/,Sintflutbrunnen,"Aichele, Paul",Brunnen,Sandstein|Beton|Kalkstein|Metall,1895-1896,Perelsplatz
Q113991172,5670,https://bildhauerei-in-berlin.de/bildwerk/erikabrunnen-5670/,Erikabrunnen,"Cauer, Emil d. J.",Brunnen,Sandstein|Bronze,1911-1912,"Adam-Kuckhoff-Platz, Laubacher Straße, Ecke Südwestkorso"
Q114010820,5664,https://bildhauerei-in-berlin.de/bildwerk/brunnenanlage-5664/,Brunnenanlage,"Tümler, Karl-Heinz",Brunnen,Beton|Steinzeug|Naturstein,1957-1958,Bayerischer Platz
Q114027130,5659,https://bildhauerei-in-berlin.de/bildwerk/nordbrunnen-5659/,Nordbrunnen,"Grzimek, Waldemar",Brunnen,Bronze|Granit|Beton,1984-1985,"Wittenbergplatz, Nordseite"
Q992749,4802,https://bildhauerei-in-berlin.de/bildwerk/brunnen-der-generationen-4802/,Brunnen der Generationen,"Grzimek, Waldemar",Brunnen|Brunnenfigur,Bronze|Stahl|Beton|Granit| Erstarrungsgesteine,1984-1985,"Wittenbergplatz, Südseite, vor dem KaDeWe"
Q114034686,5662,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5662/,Brunnen,,Brunnen,Kalkstein|Beton,1899-1900,"Viktoria-Luise-Platz, Zentrum"
Q114037277,5657,https://bildhauerei-in-berlin.de/bildwerk/wassermann-5657/,Wassermann,"Westphal, Ernst",Brunnen|Bauplastik,Muschelkalk,1902-1904,"Nollendorfplatz, Westrampe der Hochbahn"
Q56233322,5651,https://bildhauerei-in-berlin.de/bildwerk/kinderbrunnen-5651/,Kinderbrunnen,"Starck, Constantin",Brunnen,Muschelkalk|Bronze|Brunnentechnik,1911-1913,"Barbarossaplatz, Grünanlage"
Q114050938,5613,https://bildhauerei-in-berlin.de/bildwerk/schneewittchenbrunnen-5613/,Schneewittchenbrunnen,"Wellmann, Arthur",Brunnen,Muschelkalk|Metall,1940,"Voralberger Damm 22, Ecke Riemenschneiderweg, Innenhof"
Q114051869,5610,https://bildhauerei-in-berlin.de/bildwerk/brunnen-mit-fischrelief-5610/,Brunnen mit Fischrelief,Unbekannt,Brunnen,Granit,1950-1959,"Alboinplatz, Osthälfte"
Q114062497,5600,https://bildhauerei-in-berlin.de/bildwerk/vier-winde-brunnen-5600/,Vier-Winde-Brunnen,"Isenbeck, Ludwig",Brunnen,Muschelkalk,1910-1912,"Leonorenstraße 70, Platz vor dem Rathaus Steglitz"
Q114065439,5594,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-mit-wappenaufsatz-5594/,Schalenbrunnen mit Wappenaufsatz,"Breuer, Hartmut",Brunnen,Sandstein,1985,Ludwig-Becker-Platz
Q114068652,5589,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5589/,Brunnen,,Brunnen,Muschelkalk|Beton,1924-1925,"Hindenburgdamm 81-82, Aufgang 2-9, Innenhof"
Q114072614,5583,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5583/,Brunnen,Unbekannt,Brunnen,Granit|Stahl|Metall,1908,"Markusplatz, im Zentrum der Grünanlage"
Q114075413,5584,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5584/,Brunnen,"Schmidt, Walther",Brunnen,Sandstein|Kalkstein,1957,"Albrechtstraße 47, Stadtpark Steglitz, Hauptweg"
