QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111605587,8759,https://bildhauerei-in-berlin.de/bildwerk/ernst-von-leyden-8759/,Ernst von Leyden,"Boermel, Eugen",Büste|Denkmal,Bronze|Granit,1913,"Schumannstraße 22, auf dem Gelände der Charité"
Q111622068,8760,https://bildhauerei-in-berlin.de/bildwerk/wilhelm-griesinger-denkmal-8760/,Wilhelm Griesinger-Denkmal,Unbekannt,Büste,Bronze|Granit,1900,"Schumannstraße 22, auf dem Gelände der Charité"
Q111622175,8762,https://bildhauerei-in-berlin.de/bildwerk/rudolf-virchow-denkmal-8762/,Rudolf Virchow-Denkmal,,Büste|Denkmal,Bronze|Stein,1882,"Schumannstraße 22, auf dem Gelände der Charité"
Q111625777,8757,https://bildhauerei-in-berlin.de/bildwerk/franz-koenig-denkmal-8757/,Franz König-Denkmal,"Hartzer, Carl Ferdinand",Büste|Denkmal,Bronze|Granit|Farbe,1904,"Schumannstraße 22, auf dem Gelände der Charité"
Q111626305,8758,https://bildhauerei-in-berlin.de/bildwerk/adolf-von-bardeleben-denkmal-8758/,Adolf von Bardeleben-Denkmal,"Wolff, Martin",Büste|Denkmal,Bronze|Granit|Farbe,1889,"Schumannstraße 22, auf dem Gelände der Charité"
Q111628718,5380,https://bildhauerei-in-berlin.de/bildwerk/friedrich-althoff-5380/,Friedrich Althoff,"Hartzer, Carl Ferdinand",Büste|Denkmal,Bronze|Granit,1902-1903,"Schumannstraße, in der Charité, links neben dem Verwaltungsgebäude"
Q111630171,8549,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-fuer-charles-darwin-8549/,Büstendenkmal für Charles Darwin,"Baldamus, Senta",Büste,Bronze|Sandstein,1989,"Am Tierpark 125, Tierpark Friedrichsfelde, nahe beim Schloss Friedrichsfelde, östlicher Rand des Nordparterres"
Q111632398,8525,https://bildhauerei-in-berlin.de/bildwerk/peter-joseph-lenne-8525/,Peter Joseph Lenné,"Baldamus, Senta",Büste,Bronze|Sandstein,1964,"Am Tierpark 125, Tierpark Friedrichsfelde, an der Gabelung des Lenné-Weges"
Q111632425,8333,https://bildhauerei-in-berlin.de/bildwerk/karl-foerster-8333/,Karl Foerster,"Baldamus, Senta",Büste,Bronze|Sandstein,1961,"Am Tierpark 125, Karl-Foerster-Garten im Tierpark Friedrichsfelde"
Q111637802,4653,https://bildhauerei-in-berlin.de/bildwerk/sonnenlabyrinth-4653/,Sonnenlabyrinth,"Brandenburg, Paul",Abstrakte Plastik|Freiplastik,Travertin,1970,"Neheimer Straße 4, Grünanlage am ehem. Gaswerkhafen"
Q111653318,10149,https://bildhauerei-in-berlin.de/bildwerk/portraet-matthias-erzberger-10149/,Porträt Matthias Erzberger,"Freiesleben, Bertrand ",Porträt,Bronze|Granit,2021,"Unter den Linden 71, Matthias-Erzberger-Haus, vor dem Gebäude"
Q111671751,8107,https://bildhauerei-in-berlin.de/bildwerk/denkmal-salvador-allende-8107/,Denkmal Salvador Allende,"Rohde, Dietrich",Denkmal|Büste,Bronze,1981,"Pablo-Neruda-Straße gegenüber Nr. 11, Salvador-Allende-Straße 51"
Q111672335,8087,https://bildhauerei-in-berlin.de/bildwerk/fasch-denkmal-8087/,Fasch-Denkmal,,Büste|Denkmal,Bronze|Granit,1891,Am Festungsgraben 2
Q111727967,8069,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-robert-schumann-8069/,Denkmal für Robert Schumann,"Balden, Theo",Büste,Granit|Kunststein,1956,"Freiheit 15, vor dem Freunde der Joseph Schmidt Musikschule e.V. "
Q111730978,8050,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-heinrich-mann-8050/,Denkmal für Heinrich Mann,"Seitz, Gustav",Büste|Denkmal,Naturstein|Granit,1951,"Wilhelm-Kuhr-Straße 9, Bürgerpark Pankow, auf Wiese östlich von Ziegengehege"
Q111736589,8044,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-hermann-von-helmholtz-8044/,Denkmal für Hermann von Helmholtz,"Hildebrand, Adolf von",Denkmal|Büste,Granit|Bronze,1891,"Robert-Rössle-Straße 10, Buch / Campus Buch, vor dem Hermann-von-Helmholtz-Haus, Haus C 84"
Q111737685,8043,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-hans-gummel-8043/,Denkmal für Hans Gummel,"Schack, Rosemarie",Denkmal|Büste,Bronze|Naturstein|Granit|Stein|Bronze,1973,"Robert-Rössle-Straße 10, Campus Buch, vor Haus 47"
Q111009895,8036,https://bildhauerei-in-berlin.de/bildwerk/denkmal-robert-roessle-8036/,Denkmal Robert Rössle,"Thieme, Gerhard",Denkmal|Büste,Kunststein|Bronze|Bronze,1960,"Robert-Rössle-Straße 10, Campus Buch, vor Haus 47"
Q111739384,8037,https://bildhauerei-in-berlin.de/bildwerk/kopf-der-minerva-8037/,Kopf der Minerva,"Ebbinghaus, Carl",Büste|Bauplastik,Bronze,1929,"Robert-Rössle-Straße 10, Buch / Campus Buch, Haus 55, über dem Eingangsportal"
Q111741408,8035,https://bildhauerei-in-berlin.de/bildwerk/denkmal-walter-friedrich-8035/,Denkmal Walter Friedrich,"Schockel-Rostowskaja, Maria",Büste,Kunststein|Bronze,1964,"Robert-Rössle-Straße 10, Campus Buch, vor Walter-Friedrich-Haus, Haus C 27"
