QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q114567560,5718,https://bildhauerei-in-berlin.de/bildwerk/maerchenbrunnen-5718/,Märchenbrunnen,"Lehmann-Borges, Hans",Brunnen,Klinker|Eisen|Steinzeug|Steinzeug|Kupferblech,1930,"Schaffhausener Straße, Wohnanlage, Grünanlage"
Q114590753,5308,https://bildhauerei-in-berlin.de/bildwerk/protuberanzen-5308/,Protuberanzen,"Trenkel, Alfred Paul",Freiplastik|Abstrakte Plastik,Bronze|Beton,1978,"Rollbergstraße, Fußgängerpromenade zwischen Werbelinstraße und Kopfstraße, Wohnanlage"
Q114598007,5308,https://bildhauerei-in-berlin.de/bildwerk/protuberanzen-5308/,Protuberanzen,"Trenkel, Alfred Paul",Freiplastik|Abstrakte Plastik,Bronze|Beton,1978,"Rollbergstraße, Fußgängerpromenade zwischen Werbelinstraße und Kopfstraße, Wohnanlage"
Q114612018,8045,https://bildhauerei-in-berlin.de/bildwerk/der-mensch-fliege-8045/,Der Mensch fliege,"Schönfelder, Baldur",Freiplastik|Architektur|Relief,Beton|Bronze,1967-1968,"Rolandstraße  35, Niederschönhausen / hinter der Konrad-Duden-Schule"
Q107392057,4774,https://bildhauerei-in-berlin.de/bildwerk/schwanenkuekenbrunnen-4774/,Schwanenkükenbrunnen,"Gaul, August",Brunnen|Brunnenfigur,Bronze,1908,"Leibnizstraße, Ecke Kurfürstendamm"
Q114642342,4772,https://bildhauerei-in-berlin.de/bildwerk/hirschbrunnen-4772/,Hirschbrunnen,"Gaul, August",Brunnen|Tierfigur,Kupfer|Gold|Muschelkalk,1912,"Rudolph-Wilde-Park, Ostseite"
Q114647967,4767,https://bildhauerei-in-berlin.de/bildwerk/brunnenanlage-mit-steinobjekt-4767/,Brunnenanlage mit Steinobjekt,"Fujiwara, Makoto",Brunnen,Labradorgranit,1987-1988,"Königin-Luise-Straße 6-8, Botanischer Garten, Neuer Wassergarten, unweit der großen Gewächshäuser"
Q114659482,4765,https://bildhauerei-in-berlin.de/bildwerk/wasserstein-4765/,Wasserstein,"Fujiwara, Makoto",Freiplastik|Brunnen|Ensemble,Marmor|Brunnentechnik|Metall|Granit,1983-1986,Kranoldplatz
Q114666921,4738,https://bildhauerei-in-berlin.de/bildwerk/fuchsbrunnen-4738/,Fuchsbrunnen,"Esser, Max",Brunnen|Brunnenfigur,Bronze|Stein,1912|1925|1961,"Ceciliengärten, Nordseite"
Q114670176,4724,https://bildhauerei-in-berlin.de/bildwerk/kugelbrunnen-4724/,Kugelbrunnen,"Ebeling, Manfred",Brunnen,Beton,1978,"Dolgenseestraße 11-11a, Ecke Mellenseestraße,"
Q114679192,4692,https://bildhauerei-in-berlin.de/bildwerk/siegfriedbrunnen-4692/,Siegfriedbrunnen,"Cauer, Emil d. J.",Brunnen|Bauplastik|Brunnenfigur,Sandstein|Kalkstein|Kunststein|Metall,1911,Rüdesheimer Platz
Q114684307,4678,https://bildhauerei-in-berlin.de/bildwerk/nichtgeburtstagskaffeekanne-4678/,Nichtgeburtstagskaffeekanne,"Brummack, Heinrich",Ensemble|Brunnen,Granit|Granit|Marmor|Diabas|Messing,1988-1990,"Theodor-Wolff-Park, Friedrichstraße Ecke Franz-Klühs-Straße"
Q110154685,4671,https://bildhauerei-in-berlin.de/bildwerk/drei-aktfiguren-an-und-im-brunnenbecken-4671/,Großer Brunnen,"Broniatowski, Karol",Brunnen|Figurengruppe|Aktdarstellung,Bronze|Granit|Beton,1984-1985,"Franz-Neumann-Platz, zentral auf dem Platz"
Q114707452,4650,https://bildhauerei-in-berlin.de/bildwerk/imaginaeres-theater-leda-mit-schwan-zyclopen-und-zentaur-4650/,"Imaginäres Theater: Leda mit Schwan, Zyclopen und Zentaur","Bonk, Hartmut",Brunnen|Ensemble,Bronze|Granit|Andesit,1986-1987,Karl-Marx-Platz
Q114710344,4646,https://bildhauerei-in-berlin.de/bildwerk/nilpferdbrunnen-4646/,Nilpferdbrunnen,"Bode, Nikolaus",Brunnen,Sandstein|Bronze|Brunnentechnik,1978,"Wühlischplatz, Ecke Holteistraße"
Q114728195,4629,https://bildhauerei-in-berlin.de/bildwerk/brunnen-fuer-den-rosengarten-4629/,Brunnen für den Rosengarten,"Biederbick, Christa",Brunnen|Ensemble,Bronze|Granit|Marmor|Brunnentechnik,1985,"Britzer Garten, Buckower Damm"
Q114729141,4629,https://bildhauerei-in-berlin.de/bildwerk/brunnen-fuer-den-rosengarten-4629/,Brunnen für den Rosengarten,"Biederbick, Christa",Brunnen|Ensemble,Bronze|Granit|Marmor|Brunnentechnik,1985,"Britzer Garten, Buckower Damm"
Q114729152,4629,https://bildhauerei-in-berlin.de/bildwerk/brunnen-fuer-den-rosengarten-4629/,Brunnen für den Rosengarten,"Biederbick, Christa",Brunnen|Ensemble,Bronze|Granit|Marmor|Brunnentechnik,1985,"Britzer Garten, Buckower Damm"
Q114729154,4629,https://bildhauerei-in-berlin.de/bildwerk/brunnen-fuer-den-rosengarten-4629/,Brunnen für den Rosengarten,"Biederbick, Christa",Brunnen|Ensemble,Bronze|Granit|Marmor|Brunnentechnik,1985,"Britzer Garten, Buckower Damm"
Q114731338,4606,https://bildhauerei-in-berlin.de/bildwerk/delphinbrunnen-4606/,Delphinbrunnen,"Bautz, Hans",Brunnen,Bronze|Granit|Beton,1967-1968,Hohenzollernplatz
