QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111008665,7882,https://bildhauerei-in-berlin.de/bildwerk/diesterwegdenkmal-7882/,Diesterwegdenkmal,"Metzkes, Robert",Denkmal|Figurengruppe,Granit|Bronze,1986-1990,"Spreepromenade, James-Simon-Park"
Q105045059,7878,https://bildhauerei-in-berlin.de/bildwerk/albrecht-von-graefe-denkmal-7878/,Albrecht-von-Graefe-Denkmal,"Siemering, Rudolf",Denkmal|Standfigur,Sandstein|Fayence|Fayence|Bronze,1880-1882,"Charitéplatz, Luisenstraße, Bereich des Charité-Komplexes"
Q105045137,7876,https://bildhauerei-in-berlin.de/bildwerk/christian-koppe-denkmal-7876/,Christian-Koppe-Denkmal,,Denkmal|Architektur|Grabmal,Sandstein|Eisen,1855,"Koppenplatz 12-13, vor der Fassade des dortigen Wohnhauses"
Q61769334,7873,https://bildhauerei-in-berlin.de/bildwerk/zilledenkmal-7873/,Zilledenkmal,"Drake, Heinrich",Denkmal|Freiplastik|Figurengruppe,Muschelkalk|Bronze,1963-1965,"Wallstraße 51, Köllnischer Park"
Q109775391,7854,https://bildhauerei-in-berlin.de/bildwerk/loreleidenkmal-7854/,Loreleidenkmal,"Plietzsch, Lore",Denkmal|Freiplastik|Aktdarstellung,Sandstein|Bronze,1973,"Annenstraße 3-4, Heinrich-Heine-Straße, Platz vor den Wohngebäuden"
Q1295061,7834,https://bildhauerei-in-berlin.de/bildwerk/schillerdenkmal-7834/,Schillerdenkmal,"Begas, Reinhold",Denkmal|Brunnen,Eisen|Marmor|Marmor,1864-1869,"Gendarmenmarkt, vor dem ehemaligen Schauspielhaus (Konzerthaus)"
Q112144240,7823,https://bildhauerei-in-berlin.de/bildwerk/friedrich-ebert-denkmal-7823/,Friedrich-Ebert-Denkmal,"Bergmann, Gertrud",Denkmal|Stele,Beton|Kunststein|Bronze|Farbe,1970,Swakopmunder Straße
Q112145878,7819,https://bildhauerei-in-berlin.de/bildwerk/schillerdenkmal-7819/,Schillerdenkmal,,Denkmal,Granit|Bronze|Bronze,1941,"Schillerpark, Kinderspielplatz nahe Bristolstraße / Oxforderstraße"
Q24666180,7815,https://bildhauerei-in-berlin.de/bildwerk/tor-zur-welt-7815/,Tor zur Welt,"Bill, Max",Denkmal|Ensemble,Granit,1994,Kurt-Schumacher-Damm 27
Q112152459,7529,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-dag-hammarskjoeld-7529/,Denkmal für Dag Hammarskjöld,,Denkmal|Denkmalanlage,Granit|Bronze|Naturmaterial,1964,"Hammerskjöldplatz, Ecke Masurenallee, Nordeingang zum Messegelände"
Q112154697,7513,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-gefallenen-des-koenigin-elisabeth-garde-grenadier-regiments-nr-7513/,Denkmal für die Gefallenen des Königin-Elisabeth-Garde-Grenadier-Regiments Nr. 3,"Gerstel, Wilhelm",Gefallenendenkmal|Kriegerdenkmal|Denkmal,Muschelkalk|Bronze,1925,"Nördlicher Lietzensee, westliche Böschung der Parkanlage"
Q112162070,7507,https://bildhauerei-in-berlin.de/bildwerk/gefallenendenkmal-7507/,Gefallenendenkmal,"Wolff, Albert",Gefallenendenkmal|Kriegerdenkmal|Denkmal,Sandstein|Bronze,1873-1875,"Stadtplatz Alt-Lietzow, halbrunde Platzanlage an der westlichen Seite"
Q2110523,7500,https://bildhauerei-in-berlin.de/bildwerk/standbild-albrecht-prinz-von-preussen-7500/,Standbild Albrecht Prinz von Preußen,"Boermel, Eugen",Denkmal|Standbild,Bronze|Granit|Schmiedeeisen,1901,"Luisenplatz, Mittelstreifen der Schloßstraße, an der Otto-Suhr-Allee, Gegenüber dem Schloss Charlottenburg"
Q1000021,7485,https://bildhauerei-in-berlin.de/bildwerk/standbild-friedrich-i-7485/,Standbild Friedrich I.,"Becker, Fritz",Denkmal|Standbild,Bronze|Marmor|Granit,1697-1698,"Spandauer Damm, Schlosspark Charlottenburg, vor dem Neuen Flügel, linke Seite"
Q110569589,7486,https://bildhauerei-in-berlin.de/bildwerk/standbild-friedrich-ii-7486/,Standbild Friedrich II.,,Denkmal|Standbild,Bronze|Granit,1792-1793,"Spandauer Damm, Schlosspark Charlottenburg, Garten vor dem Neuen Flügel, rechte Seite"
Q24946720,7486,https://bildhauerei-in-berlin.de/bildwerk/standbild-friedrich-ii-7486/,Standbild Friedrich II.,,Denkmal|Standbild,Bronze|Granit,1792-1793,"Spandauer Damm, Schlosspark Charlottenburg, Garten vor dem Neuen Flügel, rechte Seite"
Q112183419,7360,https://bildhauerei-in-berlin.de/bildwerk/friedrich-der-grosse-7360/,Friedrich der Große,,Denkmal|Standbild,Bronze|Beton,2003,"Bölschstraße, Marktplatz Friedrichshagen"
Q112194917,7361,https://bildhauerei-in-berlin.de/bildwerk/gefallenendenkmal-7361/,Gefallenendenkmal,Unbekannt,Denkmal|Gefallenendenkmal,Metall|Sandstein|Sandstein,1879,"Bölschestraße, Aßmannstraße, südlich der Christophorus-Kirche"
Q112206609,7348,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-kaempfer-gegen-den-kapp-putsch-7348/,Denkmal für die Kämpfer gegen den Kapp-Putsch,,Denkmal,Kunststein|Sandstein,1983,"Futranplatz, Nördliche Ecke des Platzes, links vom Gedenkstein"
Q112208770,7347,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-alexander-futran-7347/,Denkmal für Alexander Futran,"Füssel, Hans",Denkmal|Findling,Bronze|Granit,1960,"Futranplatz, Freiheit, gegenüber Katzengraben 1A "
