QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q113708769,8291,https://bildhauerei-in-berlin.de/bildwerk/wasserspiele-8291/,Wasserspiele,,Brunnen,Granit|Metall,2009,"Anton-Saefkow-Platz, vor dem ehemaligen Kaufhaus"
Q113714188,8291,https://bildhauerei-in-berlin.de/bildwerk/wasserspiele-8291/,Wasserspiele,,Brunnen,Granit|Metall,2009,"Anton-Saefkow-Platz, vor dem ehemaligen Kaufhaus"
Q113787746,5558,https://bildhauerei-in-berlin.de/bildwerk/treppenskulptur-5558/,Treppenskulptur,"Haase, Volkmar",Bauplastik|Abstrakte Plastik,Edelstahl,1988,"Lützowplatz 9, Haus am Lützowplatz"
Q113833414,8266,https://bildhauerei-in-berlin.de/bildwerk/loewe-8266/,Löwe,"Filin, Georgi",Freiplastik|Tierfigur,Sandstein,1987,"Anton-Saefkow-Platz, Grünfläche zwischen Hausnummer 10 und 11 "
Q113847696,8269,https://bildhauerei-in-berlin.de/bildwerk/dem-leben-gewidmet-tschernobyl-8269/,Dem Leben gewidmet - Tschernobyl,"Sinkewitsch, Juri",Freiplastik|Stele|Relief,Sandstein|Beton,1987,"Anton-Saefkow-Platz, Grünfläche zwischen dem ehemaligen Kaufhaus und den Straßenbahngleisen in der Karl-Lade-Straße"
Q108641552,8272,https://bildhauerei-in-berlin.de/bildwerk/paar-8272/,Zwei,"Ali, Mustafa",Figurengruppe|Freiplastik,Sandstein|Kunststein,1987,"Anton-Saefkow-Platz, Fennpfuhlpark, am Weg nördlich der Villa Fennpfuhl"
Q108637996,8280,https://bildhauerei-in-berlin.de/bildwerk/junges-paar-8280/,Junges Paar,"Raue, Jürgen",Figurengruppe|Freiplastik,Bronze|Klinker,1977-1978,"Anton-Saefkow-Platz, Fennpfuhlpark, Wiese westlich des Fennpfuhls"
Q111152722,8274,https://bildhauerei-in-berlin.de/bildwerk/zwiesprache-8274/,Zwiesprache,"Pansow, Jürgen",Freiplastik,Sandstein|Zement,1987,"Anton-Saefkow-Platz, Fennpfuhlpark, Wiese westlich des Fennpfuhls"
Q113861915,8267,https://bildhauerei-in-berlin.de/bildwerk/refrain-geometrische-koerper-8267/,Refrain (Geometrische Körper),"Gravula, Juraj (Jurai)",Freiplastik,Sandstein|Zement,1987,"Anton-Saefkow-Platz, Fennpfuhlpark, nördlich der Sporthalle"
Q108635508,8276,https://bildhauerei-in-berlin.de/bildwerk/grosse-liegende-8276/,Große Liegende,"Krepp, Siegfried",Freiplastik,Bronze|Beton,1966-1971,"Fennpfuhlpark, nahe Eingang Landsberger Allee/ Weißenseer Weg"
Q108643052,8268,https://bildhauerei-in-berlin.de/bildwerk/poetische-stimmung-skulptur-mit-relieffigur-8268/,"Poetische Stimmung (Skulptur mit Relieffigur)
","Ratiu, Anton",Freiplastik,Sandstein|Kunststein,1987,"Anton-Saefkow-Platz, Fennpfuhlpark, östlicher Zugang an der Paul-Junius-Straße, westlich der Kita „Paule am Park"""
Q110300797,8275,https://bildhauerei-in-berlin.de/bildwerk/impressionen-8275/,Impressionen,"Gaedicke, Claus-Lutz",Freiplastik|Stele|Relief|Abstrakte Plastik,Sandstein,1987,"Fennpfuhlpark, südlich des Fennpfuhlsees an der Wegekreuzung nördlich der Paul-Junius-Straße"
Q113867525,5334,https://bildhauerei-in-berlin.de/bildwerk/david-und-goliath-5334/,David und Goliath,"Biebl, Rolf",Freiplastik|Figurengruppe,Sandstein|Kunststein,1987,"Anton-Saefkow-Platz, Fennpfuhlpark, südlich des Fennpfuhlsees"
Q110302677,8283,https://bildhauerei-in-berlin.de/bildwerk/windspiel-8283/,Windspiel,"Baudisch, Horst K.",Abstrakte Plastik|Kinetische Kunst|Freiplastik,Messing|Metall|Klinker|Zement|Holz,1987-1989,"Fennpfuhl, Karl-Lade-Straße, Anton-Saefkow-Platz"
Q107527876,8288,https://bildhauerei-in-berlin.de/bildwerk/baumdenkmal-8288/,Baumdenkmal,"Klein, Michael",Freiplastik|Abstrakte Plastik,Bronze|Beton,2009-2011,Anton-Saefkow-Platz vor der Bibliothek
Q113929899,6694,https://bildhauerei-in-berlin.de/bildwerk/brunnen-im-koernerpark-6694/,Brunnen im Körnerpark,,Brunnen,Kunststein|Brunnentechnik,1912-1916,"Schierker Straße 8, Körnerpark"
Q113950081,6690,https://bildhauerei-in-berlin.de/bildwerk/brunnen-am-rathaus-neukoelln-6690/,Brunnen am Rathaus Neukölln,Unbekannt,Brunnen,Muschelkalk|Sandstein|Beton|Bronze|Brunnentechnik|Granit|Schmiedeeisen,1993,"Karl-Marx-Straße 83, Vorplatz des Rathauses (Bezirksamtes)"
Q113950699,5407,https://bildhauerei-in-berlin.de/bildwerk/stehende-und-liegende-gruppe-5407/,Stehende und liegende Gruppe,"Grzimek, Sabina",Figurengruppe|Ensemble,Bronze|Stahl,1979-1985,Lützowplatz
Q113952143,6657,https://bildhauerei-in-berlin.de/bildwerk/brunnen-im-rosengarten-6657/,Brunnen im Rosengarten,Unbekannt,Brunnen,Granit|Stahl|Bronze|Farbe,1986,"Volkspark Hasenheide, Rosengarten"
Q113952229,6443,https://bildhauerei-in-berlin.de/bildwerk/schiffer-brunnen-6443/,Schiffer-Brunnen,"Hosaeus, Hermann",Brunnen|Brunnenfigur,Kalksandstein|Naturstein,1909-1910,"Schleswiger Ufer, nahe Hansabrücke"
