QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q113577790,7838,https://bildhauerei-in-berlin.de/bildwerk/neorenaissancebrunnen-7838/,Neorenaissancebrunnen,,Brunnen,Terrakotta|Brunnentechnik,1870-1879,"Mitte, Köllnischer Park, Terrasse am Märkischen Museum"
Q2595458,7872,https://bildhauerei-in-berlin.de/bildwerk/wehrturm-wusterhausenscher-baer-7872/,"Wehrturm ""Wusterhausenscher Bär""",Unbekannt,Architektur|Bauplastik,Ziegelstein|Sandstein|Sandstein,1718,"Am Köllnischen Park, Köllnischer Park"
Q113586183,7802,https://bildhauerei-in-berlin.de/bildwerk/brunnen-7802/,Brunnen,,Brunnen,Granit,1985,Leopoldplatz
Q113589166,7520,https://bildhauerei-in-berlin.de/bildwerk/brunnenanlage-7520/,Brunnenanlage,,Brunnen,Beton|Waschbeton|Steinzeug,1956-1960,Ernst-Reuter-Platz
Q113612978,7358,https://bildhauerei-in-berlin.de/bildwerk/reiherbrunnen-7358/,Reiherbrunnen,"Hennig, Hans-Detlev",Brunnen|Brunnenfigur|Figurengruppe|Tierfigur,Beton|Bronze,1971,"Bölschestraße 110, auf Grünfläche vor Wohnhaus, Nähe Marktplatz"
Q113622654,7248,https://bildhauerei-in-berlin.de/bildwerk/blauer-obelisk-7248/,Blauer Obelisk,"Santarossa, Hella",Brunnen,Glas|Edelstahl|Granit,1995,Theodor-Heuss-Platz
Q113623105,7236,https://bildhauerei-in-berlin.de/bildwerk/taenzerin-brunnen-7236/,Tänzerin-Brunnen,"Kolbe, Georg",Brunnen,Bronze|Muschelkalk,1922,"Sensburger Allee 25, Vorgarten (Georg-Kolbe-Museum)"
Q111008209,7200,https://bildhauerei-in-berlin.de/bildwerk/froschkoenig-7200/,Froschkönig,"Horota, Stephan",Brunnen|Brunnenfigur,Muschelkalk|Metall,1987-1988,"Teutoburger Platz, Ecke Fehrbelliner Straße und Christinenstraße"
Q111008243,7199,https://bildhauerei-in-berlin.de/bildwerk/loewe-mit-zwei-jungtieren-7199/,Löwe mit zwei Jungtieren,"Horota, Stephan",Brunnen|Freiplastik|Figurengruppe,Granit|Granit|Bronze,2007,"Knaakstraße 25, Ecke Belforter Straße"
Q113631270,7141,https://bildhauerei-in-berlin.de/bildwerk/enten-und-pinguinbrunnen-7141/,Enten- und Pinguinbrunnen,,Brunnen|Brunnenfigur|Figurengruppe|Tierfigur,Beton|Bronze,1929,"Boxhagener Platz, Plansche"
Q113632695,7090,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-7090/,Schalenbrunnen,,Brunnen,Klinker|Eisen|Sandstein,1824-1825,"Zehlendorf, Wannsee, Pfaueninsel, südöstlicher Bereich, auf einem Hügel"
Q113633282,7087,https://bildhauerei-in-berlin.de/bildwerk/jakobsbrunnen-7087/,Jakobsbrunnen,,Brunnen|Architektur,Sandstein|Naturstein|Eisen|Zink,1795,"Zehlendorf, Wannsee, Pfaueninsel, in der Sichtachse zum Schloss (""Große Sicht"")"
Q113637325,6962,https://bildhauerei-in-berlin.de/bildwerk/brunnen-6962/,Brunnen,"Krause, Alfred",Brunnen,Granit|Schmiedeeisen|Bronze|Brunnentechnik,1912,"Dörpfeldstraße 44-48, Marktplatz Adlershof"
Q113639121,6923,https://bildhauerei-in-berlin.de/bildwerk/wasserspeier-trio-6923/,Wasserspeier-Trio,,Brunnenfigur|Brunnen,Bronze|Stahl|Granit|Eisen|Brunnentechnik,1993-1994,"Baumschulenstraße 79-81, vor dem Komplex der Schule, Volkshochschule"
Q113644160,6901,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-6901/,Schalenbrunnen,Unbekannt,Brunnen,Stahl|Beton|Brunnentechnik,1969,"Köpenicker Landstraße 2, Vorplatz des S-Bahnhofes Plänterwald, Grünanlage"
Q113652983,6729,https://bildhauerei-in-berlin.de/bildwerk/eulenbrunnen-6729/,Eulenbrunnen,"Wenke, Karl",Brunnen,Muschelkalk|Brunnentechnik,1959,"Marktplatz Britz-Süd, Gutschmidstraße, Ecke Fritz-Reuter-Allee"
Q113656393,6724,https://bildhauerei-in-berlin.de/bildwerk/eulenbrunnen-6724/,Eulenbrunnen,"Szelinski-Singer, Katharina",Brunnen,Kunststein|Naturstein|Mosaik|Brunnentechnik,1956-1957,"Buckower Damm, Parkfriedhof Neukölln, östlich der Trauerhalle, zwischen den Abteilungen 9, 10, 16, 17"
Q113661421,6723,https://bildhauerei-in-berlin.de/bildwerk/wasserspeier-6723/,Wasserspeier,"Jopke, Klaus-Michael",Brunnen,Stein|Kunststein|Brunnentechnik|Stahl|Bronze,1984,"Buckower Damm, Parkfriedhof Neukölln, nahe Eingang Hüfnerweg"
Q113675306,6705,https://bildhauerei-in-berlin.de/bildwerk/laitiere-6705/,Laitière,,Brunnen,Bronze|Granit|Brunnentechnik|Stein,1807-1810,"Alt-Britz 73, Gutspark Britz, Ostteil des Parks"
Q113679212,6702,https://bildhauerei-in-berlin.de/bildwerk/brunnen-mit-tanzendem-paar-6702/,Brunnen mit Tanzendem Paar,"Fromlowitz, Peter",Brunnen,Granit|Beton|Kupferblech|Brunnentechnik|Eisen|Schmiedeeisen,1988-1992,Fritz-Reuter-Platz
