QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111583411,9812,https://bildhauerei-in-berlin.de/bildwerk/sterbender-adler-9812/,Sterbender Adler,"Vordermayer, Ludwig",Tierfigur|Kriegerdenkmal|Skulptur,Muschelkalk,1918-1922,"Alt-Reinickendorf, Bahnhofspark am S-Bhf. Alt- Reinickendorf"
Q111584070,9810,https://bildhauerei-in-berlin.de/bildwerk/traenke-mit-schwan-9810/,Tränke mit Schwan,,Vogeltränke,Muschelkalk|Granit,,"Alt-Reinickendorf, Bahnhofspark am S-Bhf. Alt- Reinickendorf, westlich des Hauptweges"
Q111584122,9846,https://bildhauerei-in-berlin.de/bildwerk/buchablage-fuer-das-totenbuch-9846/,Buchablage für das Totenbuch,"Brandenburg, Paul",Skulptur,Muschelkalk,1982,"Freiheitsweg 64, Friedhof, in der Kapelle"
Q111584178,9850,https://bildhauerei-in-berlin.de/bildwerk/stele-iii-9850/,Stele III,"Badur, Frank",Stele,Stahl|Lackfarbe|Mosaik|Steinzeug,1981-1983,"Kühleweinstraße 5, Georg-Schlesinger-Schule, zwischen Sporthalle und Schule"
Q111584293,9826,https://bildhauerei-in-berlin.de/bildwerk/stele-ii-9826/,Stele II ,"Badur, Frank",Stele,Stahl|Kunstharz,1981-1983,"Kühleweinstraße 5, Georg-Schlesinger-Str., südlich der Schule"
Q111584308,5141,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5141/,Brunnenstele,"Rose, Max",Brunnen|Brunnenfigur,Marmor,1967,"Humboldtstraße 8-13, Till-Eulenspiegel-Grundschule, Schulfhof"
Q111584345,5004,https://bildhauerei-in-berlin.de/bildwerk/trennwand-5004/,Trennwand,"Lonas, Joseph Henry",Relief|Wandgestaltung,Aluminium|Stahl|Beton,1965-1967,"Montanstraße 7, am Eingang eines Büros"
Q111584389,9827,https://bildhauerei-in-berlin.de/bildwerk/vier-wassertempel-9827/,Vier Wassertempel,"Sternecke, Otto",Brunnen,Beton|Bronze|Edelstahl|Kunststein,1989,"Kurt-Schumacher-Platz, auf den vier Kreuzungsecken"
Q22330282,7865,https://bildhauerei-in-berlin.de/bildwerk/rudolf-virchow-denkmal-7865/,Rudolf-Virchow-Denkmal,"Klimsch, Fritz",Denkmal,Muschelkalk|Marmor|Farbe,1906-1910,"Karlplatz, Nordhälfte"
Q111584975,5170,https://bildhauerei-in-berlin.de/bildwerk/wasserpilz-5170/,Wasserpilz,"Scharfenberg, Emanuel",Brunnen|Brunnenfigur,Bronze|Granit,1984,Leon-Jessel-Platz
Q111585008,4612,https://bildhauerei-in-berlin.de/bildwerk/borussia-4612/,Borussia,"Begas, Reinhold",Denkmal|Standbild,Beton|Marmor|Granit,1885,"Preußenpark, Fehrbelliner Platz"
Q111587932,10158,https://bildhauerei-in-berlin.de/bildwerk/bueste-ignaz-semmelweis-10158/,Büste Ignaz Semmelweis,"Varga, Éva",Büste,Bronze,2018,"Hindenburgdamm 30, Grünfläche vor dem Haupteingang des Klinikum Benjamin Franklin"
Q111588432,5009,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-kurt-schumacher-5009/,Denkmal (für) Kurt Schumacher,"Lonas, Joseph Henry",Denkmal,Beton|Stahl|Farbe|Bronze,1968-1970,"Kurt-Schumacher-Platz, Ecke Kurt-Schumacher-Damm und Scharnweberstraße"
Q111589871,8559,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-carl-von-linne-8559/,Büstendenkmal Carl von Linné,"Baldamus, Senta",Büste,Bronze|Sandstein,1994,"Am Tierpark 125, Tierpark Friedrichsfelde, nahe des Schlosses Friedrichsfelde und dem Nordparterre"
Q111589983,7801,https://bildhauerei-in-berlin.de/bildwerk/fontaenenbrunnen-7801/,Fontänenbrunnen,,Brunnen,Granit|Granit,1985-1987,Brunnenplatz
Q111590691,9591,https://bildhauerei-in-berlin.de/bildwerk/inge-keller-9591/,Inge Keller,"Grzimek, Sabina",Grabfigur|Büste,Bronze|Naturstein,1999,"Chausseestraße 126, Alter Dorotheenstädtischer und Friedrichswerderscher Friedhof, Grabstätte Keller"
Q111595906,8766,https://bildhauerei-in-berlin.de/bildwerk/friedrich-kraus-denkmal-8766/,Friedrich Kraus-Denkmal,"Lederer, Hugo",Büste|Denkmal,Bronze|Kunststein,1927,"Schumannstraße 22, auf dem Gelände der Charité"
Q15857000,5431,https://bildhauerei-in-berlin.de/bildwerk/baerenbrunnen-5431/,Bärenbrunnen,"Lederer, Hugo",Brunnen|Tierfigur, Erstarrungsgesteine|Brunnentechnik,1928|1958,"Französische Straße, Ecke Werderscher Markt"
Q111598340,8764,https://bildhauerei-in-berlin.de/bildwerk/paul-langerhans-denkmal-8764/,Paul Langerhans-Denkmal,"Herweg, Frank",Büste|Denkmal,Bronze|Stein,2012,"Schumannstraße 22, auf dem Gelände der Charité"
Q111603560,8765,https://bildhauerei-in-berlin.de/bildwerk/otto-heubner-denkmal-8765/,Otto Heubner-Denkmal,"Lederer, Hugo",Büste|Denkmal,Bronze|Kunststein,1925-1926,"Schumannstraße 22, auf dem Gelände der Charité"
