QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q1534095,5168,https://bildhauerei-in-berlin.de/bildwerk/goethedenkmal-5168/,Goethedenkmal,"Schaper, Fritz",Denkmal|Standbild,Marmor|Granit,1872-1880,Großer Tiergarten südlich des Brandenburger Tores an der Ebertstraße
Q61769306,5107,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-general-hans-david-ludwig-graf-york-von-wartenburg-5107/,Denkmal für General Hans David Ludwig Graf York von Wartenburg,"Rauch, Christian Daniel",Denkmal|Standbild,Granit|Bronze|Bronze,1851-1855,"Unter den Linden, Grünanlage zwischen Staatsoper und Operncafé, südliches Ende"
Q108212960,9744,https://bildhauerei-in-berlin.de/bildwerk/plastische-koerper-grosse-blueten-9744/,Plastische Körper - Große Blüten,"Rehfeld, Robert",Abstrakte Plastik|Ensemble,Beton|Steinzeug,1984,"Murtzaner Ring 25, Allee der Kosmonauten 129, Freifläche am Park Akazienwäldchen"
Q881611,5108,https://bildhauerei-in-berlin.de/bildwerk/reiterstandbild-friedrich-der-grosse-5108/,Reiterstandbild Friedrich der Große,"Rauch, Christian Daniel",Denkmal|Reiterfigur,Granit|Granit|Bronze|Eisen|Eisen,1836-1851,"Unter den Linden, zwischen Bebelplatz und HU"
Q51846342,5106,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-general-gebhard-leberecht-von-bluecher-5106/,Denkmal für General Gebhard Leberecht von Blücher,"Rauch, Christian Daniel",Standbild|Denkmal,Bronze|Bronze|Granit,1819-1824,"Unter den Linden, Grünanlage Bebelplatz, zwischen Staatsoper und Palais Populaire "
Q25063971,5104,https://bildhauerei-in-berlin.de/bildwerk/friedenssaeule-5104/,Friedenssäule,,Bauwerk|Brunnen|Denkmal,Marmor|Granit|Granit|Bronze,1840-1843,Mehringplatz
Q113201621,5095,https://bildhauerei-in-berlin.de/bildwerk/heinrich-von-kleist-herme-5095/,Heinrich von Kleist-Herme,"Pracht, Karl",Denkmal,Marmor|Aluminium|Granit,1898-1899,"Viktoriapark, nördlich des Kreuzbergs in der Achse der Monumentenstraße"
Q61769329,5082,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-andreas-christian-gerlach-5082/,Denkmal für Andreas Christian Gerlach,"Panzner, Otto",Denkmal,Bronze|Granit,1890,"Luisenstraße 56, vor der Tierarzneischule"
Q24976694,5078,https://bildhauerei-in-berlin.de/bildwerk/wilhelm-von-humboldt-denkmal-5078/,Wilhelm von Humboldt-Denkmal,"Otto, Martin Paul",Denkmal,Marmor|Granit,1882-1983,Unter den Linden 6
Q20745510,5023,https://bildhauerei-in-berlin.de/bildwerk/roon-denkmal-5023/,Roon-Denkmal,"Magnussen, Harro",Denkmal|Standbild,Bronze|Muschelkalk,1904,"Großer Tiergarten, Großer Stern, Nordwestseite"
Q878229,5015,https://bildhauerei-in-berlin.de/bildwerk/luftbrueckendenkmal-5015/,Luftbrückendenkmal,,Denkmal,Stahlbeton|Travertin|Bronze,1951,"Platz der Luftbrücke, Grünanlage vor dem Flughafengebäude"
Q1820909,4997,https://bildhauerei-in-berlin.de/bildwerk/lessingdenkmal-4997/,Lessingdenkmal,"Lessing, Otto",Denkmal|Standbild|Brunnen,Marmor|Granit|Bronze|Bronze|Schmiedeeisen,1887-1890,"Großer Tiergarten, Süd-Ost-Ecke des Großen Tiergartens gegenüber dem Nordrand des Lenné-Dreieck"
Q113292206,4973,https://bildhauerei-in-berlin.de/bildwerk/hannah-hoech-denkmal-4973/,Hannah-Höch-Denkmal,"Kühl, Siegfried",Denkmal|Freiplastik,Bronze|Granit|Stahlbeton,1989,"Gabrielenstraße 77, An der Malche, Seglerkopf"
Q113301550,4938,https://bildhauerei-in-berlin.de/bildwerk/bismarckdenkmal-4938/,Bismarckdenkmal,"Klein, Max",Denkmal,Bronze|Bronze|Granit,1897,Bismarckplatz
Q1357207,4935,https://bildhauerei-in-berlin.de/bildwerk/ernst-thaelmann-denkmal-4935/,Ernst-Thälmann-Denkmal,"Kerbel, Lew Jefimowitsch",Denkmalanlage|Denkmal,Bronze|Granit|Beton,1981-1986,Ernst-Thälmann-Park
Q113304996,4923,https://bildhauerei-in-berlin.de/bildwerk/feuerwehrdenkmal-4923/,Feuerwehrdenkmal,"Jendritzko, Guido",Gedenkmal|Denkmal,Granit,1960,"Mariannenplatz, Ecke Waldemarstraße, am Bürgersteig vor der Grünanlage\n"
Q113307302,4901,https://bildhauerei-in-berlin.de/bildwerk/portraitbueste-paul-lincke-4901/,Portraitbüste Paul Lincke,"Ihle, Hans-Joachim",Gedenkstele|Denkmal,Muschelkalk|Marmor,1953,Oranienstraße 64
Q24976701,4870,https://bildhauerei-in-berlin.de/bildwerk/max-planck-4870/,Max Planck,"Heiliger, Bernhard",Standfigur|Denkmal,Bronze|Muschelkalk,1948-1950,"Unter den Linden, Ehrenhof der Humboldt-Universität"
Q1191632,4835,https://bildhauerei-in-berlin.de/bildwerk/deportations-mahnmal-4835/,Deportations-Mahnmal,"Haase, Volkmar",Mahnmal|Denkmal|Abstrakte Plastik,Edelstahl|Granit,1986-1987,"Putlitzbrücke, Ostseite Mitte"
Q113320941,4655,https://bildhauerei-in-berlin.de/bildwerk/verschlungene-form-4655/,Verschlungene Form,"Brandenburg, Paul",Freiplastik,Muschelkalk,1973,"Wassertorstraße, Ecke Bergfriedstraße, Wohnanlage"
