QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111864625,6453,https://bildhauerei-in-berlin.de/bildwerk/bueste-martin-hinrich-carl-lichtenstein-6453/,Büste Martin Hinrich Carl Lichtenstein,"Wolff, Albert",Büste,Marmor,1859,"Zoologischer Garten, Antilopenhaus, Vorhalle"
Q32661268,6433,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-fuer-prof-dr-wilhelm-schwartz-6433/,Büstendenkmal für Prof. Dr. Wilhelm Schwartz,"Pfannschmidt, Friedrich Johann",Büste|Denkmal,Bronze|Muschelkalk|Messing,1902,"Turmstraße 87, Ecke Wilsnacker Straße, Grünanlage"
Q111893169,6087,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-fuer-robert-wilms-6087/,Büstendenkmal für Robert Wilms,"Siemering, Rudolf",Denkmal|Büste,Bronze|Kunststein,1883,"Mariannenplatz, Westseite, südöstlich des Einganges zum Künstlerhaus Bethanien"
Q24977046,6079,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-wilhelm-leuschner-6079/,Büstendenkmal Wilhelm Leuschner,"Kühn, Herbert",Büste|Denkmal,Kunststein|Stahlbeton|Stahl,1951-1976,"Leuschnerdamm, Grünzug am Luisenstädtischen Kanal, Promenade"
Q24977044,6078,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-carl-legien-6078/,Büstendenkmal Carl Legien,"Trumpf, Karl",Büste,Kunststein|Marmor,1959,"Legiendamm, Grünzug am Luisenstädtischen Kanal, Promenade"
Q26713401,5581,https://bildhauerei-in-berlin.de/bildwerk/fritz-althoff-denkmal-5581/,Fritz-Althoff-Denkmal,"Schaper, Fritz",Büste,Bronze|Muschelkalk,1907-1908,"Althoffplatz, Grünanlage zur Althoffstraße hin"
Q111912659,5562,https://bildhauerei-in-berlin.de/bildwerk/friedrich-paulsen-denkmal-5562/,Friedrich-Paulsen-Denkmal,Unbekannt,Büste,Kalkstein|Bronze,1911|1959,"Ruth Andreas-Friedrich-Park, Kuppe der Erhebung"
Q111920753,5470,https://bildhauerei-in-berlin.de/bildwerk/anton-saefkow-denkmal-5470/,Anton-Saefkow-Denkmal,"Kies, Hans",Denkmal|Büste,Granit|Beton|Kunststein,1957-1958,Anton-Saefkow-Park
Q111937318,5396,https://bildhauerei-in-berlin.de/bildwerk/portraet-heinrich-mann-5396/,Porträt Heinrich Mann,"Seitz, Gustav",Grabmal|Büste,Bronze,1950,"Chausseestraße, Friedhof der Dorotheenstädtischen und Friedrich-Werderschen Gemeinde"
Q111969447,5302,https://bildhauerei-in-berlin.de/bildwerk/silberfisch-5302/,Silberfisch,"Trenkel, Alfred Paul",Freiplastik|Tierfigur|Abstrakte Plastik,Marmor|Beton,1960,"Großer Tiergarten, am Ufer des Teiches im Englischen Garten"
Q110824899,4941,https://bildhauerei-in-berlin.de/bildwerk/portraetbueste-gerhard-hauptmann-4941/,Porträtbüste Gerhard Hauptmann,"Klimsch, Fritz",Büste,Muschelkalk|Bronze|Bronze|Beton,1918-1966,"Bundesallee, Meierottostraße, Gerhart-Hauptmann Grünanlage"
