QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q112613589,6888,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-fuer-albert-einstein-6888/,Büstendenkmal für Albert Einstein,"Wiegmann Mucchi, Jenny",Büste|Denkmal,Bronze|Granit,1962-1963,"Alt-Treptow 1, Archenhold-Sternwarte, in der Dauerausstellung"
Q112619237,6696,https://bildhauerei-in-berlin.de/bildwerk/werner-seelenbinder-gedenkstein-6696/,Werner-Seelenbinder-Gedenkstein,,Gedenkstein|Denkmal,Stein|Farbe,1954,"Oderstraße 182, Werner-Seelenbinder-Sportpark, Gedenkstätte"
Q112623935,6692,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-amos-comenius-6692/,Gedenkstein für Amos Comenius,Unbekannt,Gedenkstein|Denkmal|Relief,Bronze|Granit,1987,"Richardstraße 78, Ecke Kirchgasse, Vorgarten des Diakonie-Gebäudes"
Q48756662,8055,https://bildhauerei-in-berlin.de/bildwerk/julius-fucik-denkmal-8055/,Julius-Fucik-Denkmal,"Němeček, Zdeněk",Denkmalanlage|Denkmal|Mahnmal|Stele,Beton|Bronze,1973-1974,"Cottastraße, Heinrich-Mann-Straße, Bürgerpark Pankow"
Q112674300,6662,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-des-koenigin-augusta-garde-grenadier-regiment-no-6662/,Kriegerdenkmal des Königin Augusta Garde Grenadier Regiment No. 4,"Dorrenbach, Franz",Kriegerdenkmal|Gefallenendenkmal|Denkmal,Granit|Beton|Farbe,1924-1925,"Columbiadamm 122, Bezirkseigener Friedhof (ehem. Neuer Garnisonfriedhof)"
Q112678586,5190,https://bildhauerei-in-berlin.de/bildwerk/fussball-5190/,Fußball,"Schoenholtz, Michael",Freiplastik|Figurengruppe,Bronze|Stein,1978,"Bellermannstraße 64/65, Wohnanlage"
Q112678672,5190,https://bildhauerei-in-berlin.de/bildwerk/fussball-5190/,Fußball,"Schoenholtz, Michael",Freiplastik|Figurengruppe,Bronze|Stein,1978,"Bellermannstraße 64/65, Wohnanlage"
Q112678707,5190,https://bildhauerei-in-berlin.de/bildwerk/fussball-5190/,Fußball,"Schoenholtz, Michael",Freiplastik|Figurengruppe,Bronze|Stein,1978,"Bellermannstraße 64/65, Wohnanlage"
Q1678557,6653,https://bildhauerei-in-berlin.de/bildwerk/jahn-denkmal-6653/,Jahn-Denkmal,"Encke, Erdmann",Denkmal,Bronze|Granit|Naturstein|Marmor|Sandstein|Metall,1869-1872,"Hasenheide, Nordöstlicher Bereich zur Straße Hasenheide hin"
Q112712275,6648,https://bildhauerei-in-berlin.de/bildwerk/luftschifferdenkmal-6648/,Luftschifferdenkmal,"Seifert, Victor Heinrich",Kriegerdenkmal|Gefallenendenkmal|Denkmal,Bronze|Granit|Klinker,1931,"Lilienthalstraße 5, Vorgarten der St. Johannes-Basilika (ehem. Neue Kath. Garnisonkirche)"
Q112726957,6536,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-6536/,Kriegerdenkmal,"Dammann, Hans",Kriegerdenkmal|Gefallenendenkmal|Denkmal,Kunststein|Granit|Bronze|Eisen,1923-1924,"Alt-Kladow, hinter der Dorfkirche"
Q112730539,5011,https://bildhauerei-in-berlin.de/bildwerk/haengende-skulptur-5011/,Hängende Skulptur,"Lonas, Joseph Henry",Abstrakte Plastik|Freiplastik,Glasfaserverstärkter Kunststoff|Beton|Farbe|Stahl,1973-1975,"Blasewitzer Ring, Ecke Sandstraße"
Q112748245,6526,https://bildhauerei-in-berlin.de/bildwerk/wilhelm-von-siemens-gedenkstein-6526/,Wilhelm-von-Siemens-Gedenkstein,"K., A.",Gedenkstein|Denkmal,Granit|Bronze,1952,"Siedlung Siemensstadt, Parkeingang an der Dihlmannstr. gegenüber der Einmündung der Rapsstr. (Werner-von-Siemens-Park)"
Q112756204,6522,https://bildhauerei-in-berlin.de/bildwerk/denkmal-markgraf-albrecht-der-baer-6522/,Denkmal Markgraf Albrecht der Bär,"Schott, Walter",Denkmal,Marmor,1896-1898,"Am Juliusturm 64, Zitadelle, ehem. Proviantmaganzin"
Q61767822,6516,https://bildhauerei-in-berlin.de/bildwerk/die-wacht-6516/,Die Wacht,"Schreitmüller, August",Gefallenendenkmal|Kriegerdenkmal|Denkmal|Figurengruppe,Bronze|Muschelkalk|Granit,1918-1922,"Stabholzgarten, Grünanlage südlich des Rathauses Spandau,"
Q61767871,6515,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-kurfuerst-joachim-ii-6515/,Denkmal für Kurfürst Joachim II,"Encke, Erdmann",Denkmal,Bronze|Granit|Klinker|Naturstein,1888-1889,"Reformationsplatz, vor der St. Nikolaikirche"
Q112531143,6508,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-karl-klinke-6508/,Denkmal für Karl Klinke,"Wandschneider, Wilhelm",Denkmal|Gefallenendenkmal|Kriegerdenkmal,Bronze|Granit|Klinker,1906-1908,"Klinkeplatz, Schönwalder Allee, Grünanlage, nördliche Schmalseite"
Q112793068,6505,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-friedrich-ludwig-jahn-6505/,Denkmal für Friedrich Ludwig Jahn,"Wenck, Ernst",Denkmal,Marmor|Muschelkalk|Kunststein,1929,"Radelandstraße 21, Grünanlage"
Q112793746,6489,https://bildhauerei-in-berlin.de/bildwerk/blindenhund-6489/,Blindenhund,"Richter, Otto",Tierfigur|Denkmal,Bronze|Kunststein,1928,"Zoologischer Garten, am Eingangsbereich zum Braunbärfelsen gegenüber dem Gehege für Wildhunde"
Q112798130,6467,https://bildhauerei-in-berlin.de/bildwerk/bueste-wilhelm-boeckmann-6467/,Büste Wilhelm Böckmann,"Klimsch, Fritz",Büste|Denkmal,Bronze|Muschelkalk,1908,"Zoologischer Garten, nahe des Neptunteichs, an der südlichen Mauer, östlich des Elefantentors"
