QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q107545355,7170,https://bildhauerei-in-berlin.de/bildwerk/denkmal-bettina-und-achim-von-arnim-7170/,Denkmal Bettina und Achim von Arnim,"Klein, Michael",Denkmal|Figurengruppe,Travertin|Bronze,1996-1997,"Arnimplatz, Höhe Paul-Robeson-Straße / Seelower Straße"
Q31838399,7129,https://bildhauerei-in-berlin.de/bildwerk/handwerker-mit-sohn-7129/,Handwerker mit Sohn,"Haverkamp, Wilhelm",Figurengruppe|Genrefigur|Denkmal,Marmor|Granit,1898,"Andreasstraße 21 A, Grünanlage"
Q28498602,7120,https://bildhauerei-in-berlin.de/bildwerk/alexander-freiherr-von-blomberg-denkmal-7120/,Alexander-Freiherr-von-Blomberg-Denkmal,Unbekannt,Denkmal,Muschelkalk|Bronze,1913,"Otto-Braun-Straße, Ecke Friedenstraße, Grünanlage unterhalb der Bartholomäus-Kirche"
Q110597141,7111,https://bildhauerei-in-berlin.de/bildwerk/mutter-mit-kind-7111/,Mutter mit Kind,"Gomansky, Edmund",Figurengruppe|Genrefigur|Denkmal,Sandstein|Marmor,1898,"Volkspark Friedrichshain, Alte-Leute-Garten, (Sommergarten; oder Dufz- und Behindertengarten nahe Virchowstraße"
Q96337435,5399,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-deutschen-interbrigadisten-5399/,Denkmal für die deutschen Interbrigadisten,"Cremer, Fritz",Denkmal,Muschelkalk|Bronze,1967-1968,Friedenstraße am Volkspark Friedrichshain
Q112246385,7097,https://bildhauerei-in-berlin.de/bildwerk/roter-matrose-7097/,Roter Matrose,"Kies, Hans",Freiplastik|Standbild|Denkmal,Bronze,1960,"Ernst-Zinna-Weg 1, Friedhof der Märzgefallenen, Eckrand des Friedhofs"
Q112254164,7092,https://bildhauerei-in-berlin.de/bildwerk/kunckel-stein-7092/,Kunckel-Stein,Unbekannt,Erinnerungsmal|Denkmal|Findling,Granit,1972-1973,"Zehlendorf, Wannsee, Pfaueninsel, Nordostbereich, an ""Kunkels Wiese"" am Weg zur Fähre"
Q105045191,7053,https://bildhauerei-in-berlin.de/bildwerk/flensburger-loewe-7053/,Flensburger Löwe,"Bissen, Hermann Wilhelm",Denkmal|Gefallenendenkmal|Tierfigur,Zink|Naturstein|Klinker|Eisen|Bronze,1874,"Wannsee, Zum Heckeshorn, über die Straße Am Großen Wannsee"
Q112275616,7046,https://bildhauerei-in-berlin.de/bildwerk/kriegergefallenendenkmal-der-gemeinde-nikolassee-7046/,Kriegergefallenendenkmal der Gemeinde Nikolassee,Unbekannt,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Kunststein|Muschelkalk,1929,"Zehlendorf, Nikolassee, Kirchweg 19, gegenüber der Kirche in der Hauptachse"
Q112302607,7036,https://bildhauerei-in-berlin.de/bildwerk/trommler-7036/,Trommler,"Schmarje, Walter",Freiplastik|Standbild|Denkmal,Bronze|Waschbeton,1913-1923,"Kirchstraße 1-3, Ecke Martin-Buber-Straße, Rasenfläche gegenüber der Gottfried-Benn-Bibl"
