QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q1188708,8683,https://bildhauerei-in-berlin.de/bildwerk/georg-elser-denkzeichen-8683/,Georg-Elser-Denkzeichen,"Klage, Ulrich",Denkmal,Lichttechnik|Stahl,2011,"Wilhelmstraße, Ecke An der Kolonnade, Straßenland"
Q97455644,8673,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-ernst-thaelmann-8673/,Denkmal für Ernst Thälmann,"Damerow, Erwin",Denkmal|Gedenkstele,Bronze|Stein|Klinker,1969,"Revaler Straße 99, ehemaliges Reichsbahnausbesserungswerk, vor Haus 20"
Q112031564,8625,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-gefallenen-des-ersten-weltkrieges-der-gemeinde-alt-stralau-8625/,Denkmal für die Gefallenen des Ersten Weltkrieges der Gemeinde Alt-Stralau,,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Klinker|Stein,1920-1930,"Tunnelstraße 5-11, Kirchhof Alt-Stralau"
Q112031723,8620,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-gefallenen-der-gemeinde-biesdorf-8620/,Denkmal für die Gefallenen der Gemeinde Biesdorf,,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Granit,1922,"Biesdorf, Dorfanger"
Q112032546,8624,https://bildhauerei-in-berlin.de/bildwerk/gedenkstele-fuer-dr-arno-philippsthal-8624/,Gedenkstele für Dr. Arno Philippsthal,"Schulz, Horst",Gedenkstele,Naturstein|Bronze,1988,"Grabensprung 29, Vorgarten"
Q107531411,8617,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-zwangsarbeiter-und-zwangsarbeiterinnen-8617/,Denkmal für Zwangsarbeiter und Zwangsarbeiterinnen,"Klein, Michael",Denkmal,Bronze|Kunststein,2004,"Wiesenburger Weg, Städtischer Friedhof Marzahn"
Q24976703,8596,https://bildhauerei-in-berlin.de/bildwerk/theodor-mommsen-8596/,Theodor Mommsen,"Brütt, Adolf",Denkmal,Marmor|Granit,1906-1909,"Unter den Linden, Ehrenhof der HU"
Q24976982,8595,https://bildhauerei-in-berlin.de/bildwerk/general-friedrich-wilhelm-freiherr-von-seydlitz-kurzbach-8595/,General Friedrich Wilhelm Freiherr von Seydlitz-Kurzbach,,Denkmal,Bronze|Granit,1859-1862,Zietenplatz
Q24976984,8595,https://bildhauerei-in-berlin.de/bildwerk/general-friedrich-wilhelm-freiherr-von-seydlitz-kurzbach-8595/,General Friedrich Wilhelm Freiherr von Seydlitz-Kurzbach,,Denkmal,Bronze|Granit,1859-1862,Zietenplatz
Q24976985,8594,https://bildhauerei-in-berlin.de/bildwerk/general-jakob-francis-edward-keith-8594/,General Jakob Francis Edward Keith,,Denkmal,Bronze|Granit,1859-1862,Zietenplatz
