QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111031688,5351,https://bildhauerei-in-berlin.de/bildwerk/konstellation-5351/,Konstellation,"Wiesner, Erich",Freiplastik|Abstrakte Plastik|Ensemble|Brunnen,Edelstahl|Beton,1970,"Planufer, auf der Rasenfläche vor dem Urban-Krankenhaus"
Q111239354,4636,https://bildhauerei-in-berlin.de/bildwerk/phoenix-4636/,Phönix,"Blank, Bernhard Wilhelm",Freiplastik|Abstrakte Plastik,Beton|Bronze,1968,Bundesplatz
Q111240601,4634,https://bildhauerei-in-berlin.de/bildwerk/zwei-saeulen-4634/,Zwei Säulen,"Bill, Max",Freiplastik|Ensemble|Abstrakte Plastik,Stahl|Email (Beschichtung),1985,"Klingelhöfer Straße 13-14, Bauhausarchiv"
Q111273299,4600,https://bildhauerei-in-berlin.de/bildwerk/sonne-4600/,Sonne,"Baumann, Herbert",Freiplastik|Abstrakte Plastik,Muschelkalk,1961-1962,"Brümmerstraße, Ecke Landoltweg, im Südteil des Thielparks"
Q111274197,4595,https://bildhauerei-in-berlin.de/bildwerk/polis-4595/,Polis,"Avramidis, Joannis",Freiplastik|Abstrakte Plastik|Figurengruppe,Bronze|Granit,1968,"Potsdamer Straße 50, Reichpietschufer, Terrasse der Neuen Nationalgalerie"
Q111277574,4569,https://bildhauerei-in-berlin.de/bildwerk/brunnenskulptur-4569/,Brunnenskulptur,"Anastasatos, Demetros",Brunnenfigur|Abstrakte Plastik|Freiplastik,Metall|Schiefer,1973,"Hakenfelder Straße 32, Carl-Schurz-Grundschule"
Q111279934,4559,https://bildhauerei-in-berlin.de/bildwerk/ontoligia-4559/,Ontoligia,"Anastasatos, Demetros",Freiplastik|Abstrakte Plastik,Eisen|Stahl|Kupfer|Beton,1957,"Parchimer Allee 133, vor der Albert-Einstein-Oberschule"
Q42958338,8561,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-weltweit-erste-homosexuelle-emanzipationsbewegung-8561/,Denkmal für die weltweit erste homosexuelle Emanzipationsbewegung,"Binder, Martin",Denkmalanlage|Erinnerungsmal,Metall|Lackfarbe,2011-2017,Magnus-Hirschfeld-Ufer
Q111283912,8528,https://bildhauerei-in-berlin.de/bildwerk/kriegsopferdenkmal-der-baugenossenschaft-freie-scholle-8528/,"Kriegsopferdenkmal der Baugenossenschaft ""Freie Scholle""",Unbekannt,Kriegerdenkmal|Gefallenendenkmal|Erinnerungsmal|Denkmal,Granit|Granit,1945-1970,"Egidystraße, Marie-Schlei-Platz"
Q111286340,8480,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-kaethe-und-felix-tucholla-8480/,Gedenkstein für Käthe und Felix Tucholla,,Gedenkstein|Erinnerungsmal,Granit|Farbe,1977-1989,"Boxhagen, Nöldnerstraße 44, im Garten der ""Schule an der Victoria-Stadt"""
Q1497554,8282,https://bildhauerei-in-berlin.de/bildwerk/gedenkstaette-der-sozialisten-8282/,Gedenkstätte der Sozialisten,,Gedenkstätte|Denkmalanlage|Erinnerungsmal,Naturstein|Klinker|Mörtel|Bronze|Stahl|Kunststein,1951,"Friedrichsfelde, Gudrunstraße, Zentralfriedhof Friedrichsfelde"
Q111142327,8278,https://bildhauerei-in-berlin.de/bildwerk/saefkow-ehrung-8278/,Saefkow-Ehrung,"Krepp, Siegfried",Gedenkmal|Denkmal|Erinnerungsmal,Sandstein|Zement,1986-1989,Fennpfuhlpark
Q111371276,8262,https://bildhauerei-in-berlin.de/bildwerk/gedenkmal-fuer-artur-becker-8262/,Gedenkmal für Artur Becker,"Dorl, Goetz",Denkmal|Gedenkmal|Erinnerungsmal,Kupfer|Eisen,1988,"Degnerstraße, Grünanlage, gegenüber dem Hotel ""Alte Feuerwache"""
Q111372084,8258,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-die-synagoge-hohenschoenhausen-8258/,Gedenkstein für die Synagoge Hohenschönhausen,,Gedenkstein|Erinnerungsmal,Naturstein|Eisen,2000,"Konrad-Wolf-Straße 91-92, Grünfläche zwischen einem Sanitärhaus (Haus Nr. 93) und einem Bürogebäude (Nr. 91/92)"
Q111377817,8077,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-friedrich-wilhelm-albert-hirte-8077/,Denkmal für Friedrich Wilhelm Albert Hirte,,Denkmal|Erinnerungsmal,Sandstein|Schmiedeeisen,1895,"Hirschgarten, Hirteplatz, mittig des Platzes"
Q111380100,7902,https://bildhauerei-in-berlin.de/bildwerk/herbert-baum-denkmal-7902/,Herbert-Baum-Denkmal,"Raue, Jürgen",Denkmal|Erinnerungsmal,Kunststein|Waschbeton|Glas|Stahl,1981,"Lustgarten, Südostecke nahe Straße am Dom, Karl-Liebknecht-Straße"
Q111381378,7858,https://bildhauerei-in-berlin.de/bildwerk/denkzeichen-modezentrum-hausvogteiplatz-7858/,Denkzeichen Modezentrum Hausvogteiplatz,"Görß, Rainer",Erinnerungsmal|Gedenkmal|Denkmal,Aluminium|Spiegelglas|Stahl,1995-2002,Hausvogteiplatz
Q111382378,7219,https://bildhauerei-in-berlin.de/bildwerk/olympiaglocke-7219/,Olympiaglocke,"Lemcke, Walter E.",Glocke|Denkmal|Erinnerungsmal,Stahl,1933-1935,"Olympischer Platz, Südtorweg"
Q111383014,7181,https://bildhauerei-in-berlin.de/bildwerk/hermann-blankenstein-stele-7181/,Hermann-Blankenstein-Stele,"Anders, Ewald",Erinnerungsmal|Stele|Denkmal,Klinker|Sandstein,1989,Prenzlauer Allee 75
Q1699574,7148,https://bildhauerei-in-berlin.de/bildwerk/karl-marx-erinnerungsstaette-7148/,Karl-Marx-Erinnerungsstätte,"Kies, Hans",Erinnerungsmal|Ensemble,Sandstein|Steinzeug|Beton|Kalkstein,1964,"Alt-Stralau 18, gegenüber Einmündung der Friedrich-Junge-Straße, Grünanlage"
