QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q61768119,8411,https://bildhauerei-in-berlin.de/bildwerk/hermann-duncker-8411/,Hermann Duncker,"Howard, Walter",Denkmal|Standbild|Freiplastik,Bronze|Epprechtstein Granit,1976,"Treskowallee (ehem. Hermann-Duncker-Straße), Ecke Wandlitzstraße, Grünanlage"
Q112057589,8408,https://bildhauerei-in-berlin.de/bildwerk/nikos-beloyannis-8408/,Nikos Beloyannis,"Graetz, René",Denkmal|Standbild,Bronze|Muschelkalk,1952-1956,"Römerweg, Cäsarenstraße, Hochschule für Technik und Wirtschaft, im Gartenbereich"
Q105045301,8393,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-das-gestapo-arbeitserziehungslager-wuhlheide-8393/,"Gedenkstein für das GESTAPO-""Arbeitserziehungslager  Wuhlheide""",,Gedenkstein|Gedenkstele|Gedenkmal|Denkmal|Mahnmal,Granit|Bronze,1981-1985,"Am Tierpark 125, Triftweg am südlichen Rand des Tierparks Friedrichsfelde"
Q105045292,8301,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-mit-adler-8301/,Kriegerdenkmal mit Adler,Unbekannt,Kriegerdenkmal|Gefallenendenkmal|Denkmal,Sandstein|Granit|Zement,1922,"Friedrichsfelde, Alfred-Kowalke-Straße, Dorfanger"
Q96654524,8261,https://bildhauerei-in-berlin.de/bildwerk/sowjetisches-ehrenmal-alt-hohenschoenhausen-8261/,Sowjetisches Ehrenmal Alt-Hohenschönhausen,Unbekannt,Denkmalanlage|Denkmal|Kriegerdenkmal,Kunststein|Metall|Zement|Farbe,1947,"Küstriner Straße, Alt-Hohenschönhausen"
Q112073663,8102,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-werner-sylten-8102/,Gedenkstein Werner Sylten,"Rosenthal, Werner",Denkmal|Gedenkstein|Gedenkstele,Beton|Bronze,1995,"Müggelbergplatz, auf dem Platz"
Q1113123,8097,https://bildhauerei-in-berlin.de/bildwerk/sowjetisches-ehrenmal-8097/,Sowjetisches Ehrenmal,,Kriegerdenkmal|Denkmal,Granit|Muschelkalk,1947-1948,"Wiltbergstraße, Buch / am südlichen Rande des Schlossparks"
Q112075697,8060,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-johann-jacob-baeyer-8060/,Denkmal für Johann Jacob Baeyer,"Füssel, Hans",Gedenkstele|Denkmal,Kunststein|Metall|Bronze,1962,"Alt-Müggelheim 22, östlicher Dorfangerrand, gegenüber der Dorfkirche "
Q61769276,8061,https://bildhauerei-in-berlin.de/bildwerk/gefallenendenkmal-8061/,Gefallenendenkmal,"Hengstenberg, Georg",Gefallenendenkmal|Denkmal|Kriegerdenkmal,Sandstein,1920,"Alt-Schmöckwitz, vor der Schmöckwitzer Kirche"
Q112079304,8465,https://bildhauerei-in-berlin.de/bildwerk/dynamischer-koerper-mit-kugel-8465/,Dynamischer Körper mit Kugel,,Freiplastik|Abstrakte Plastik,Metall,1986,"an der Grenze zu Marzahn-Hellersdorf, Allee der Kosmonauten 25"
Q112080466,8032,https://bildhauerei-in-berlin.de/bildwerk/hugenotten-in-buchholz-8032/,Hugenotten in Buchholz,"Jörke, Ulrich",Denkmal|Stele,Sandstein|Stein,1990,"Pfarrer Hurtienne- Platz, Französisch Buchholz / auf dem Kirchenvorplatz"
Q53324432,8030,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-carl-von-ossietzky-8030/,Denkmal für Carl von Ossietzky,"Simon, Klaus Wolf",Denkmal|Standbild,Pflastersteine|Bronze,1989,Ossietzkystraße 24
Q107545408,8015,https://bildhauerei-in-berlin.de/bildwerk/friedensdenkmal-8015/,Friedensdenkmal,"Klein, Michael",Freiplastik|Denkmal,Bronze|Stein,1995-1996,"Hauptstraße 13A, im Vorgarten"
Q1596388,7904,https://bildhauerei-in-berlin.de/bildwerk/heinrich-heine-denkmal-7904/,Heinrich-Heine-Denkmal,"Grzimek, Waldemar",Denkmal|Freiplastik,Stein|Muschelkalk|Bronze|Bronze,1955-1956,"Mitte, Veteranenstraße, Ecke Brunnenstraße, Volkspark Weinbergsweg"
Q112112981,7852,https://bildhauerei-in-berlin.de/bildwerk/heinrich-heine-denkmal-7852/,Heinrich-Heine-Denkmal,"Grzimek, Waldemar",Denkmal|Freiplastik,Kalkstein|Bronze,1954,"Am Festungsgraben, Kastanienwäldchen, vor dem östlichen Seitenflügel der HU Berlin"
Q66102790,7901,https://bildhauerei-in-berlin.de/bildwerk/ernst-reuter-denkmal-7901/,Ernst-Reuter-Denkmal,"Haacke, Harald",Denkmal|Büste,Sandstein|Bronze,1956,"Theodor-Heuss-Weg 11-14, Grünanlage der Ernst-Reuter-Siedlung"
Q112120206,7894,https://bildhauerei-in-berlin.de/bildwerk/robert-koch-denkmal-7894/,Robert-Koch-Denkmal,"Tuaillon, Louis",Denkmal,Marmor|Marmor,1912-1916,"Robert-Koch-Platz, östliche Seite"
Q112124766,7893,https://bildhauerei-in-berlin.de/bildwerk/emil-fischer-denkmal-7893/,Emil-Fischer-Denkmal,,Denkmal,Muschelkalk|Bronze,1921|1952,"Robert-Koch-Platz, westliche Seite"
Q110992485,7892,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-die-erbauer-des-stadtzentrums-7892/,Denkmal für die Erbauer des Stadtzentrums,"Rommel, Gerhard",Denkmal|Relief,Beton|Bronze,1968-1972,Rathausstraße 5
