QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111008715,7991,https://bildhauerei-in-berlin.de/bildwerk/kletternde-kinder-7991/,Kletternde Kinder,"Thieme, Gerhard",Freiplastik|Figurengruppe|Brunnen,Beton|Stahl|Bronze,1970,"Berlinerstraße 1, Breite Straße 40"
Q2310754,7848,https://bildhauerei-in-berlin.de/bildwerk/spindlerbrunnen-7848/,Spindlerbrunnen,,Brunnen,Granit|Granit,1891-1892,"Südpark, Niederwall Ecke Kleine Kurstraße"
Q113502729,7846,https://bildhauerei-in-berlin.de/bildwerk/zwei-springbrunnen-7846/,Zwei Springbrunnen,,Brunnen,Beton|Naturstein|Bronze,1877,Pariser Platz
Q650657,7847,https://bildhauerei-in-berlin.de/bildwerk/schlossbrunnen-7847/,Schlossbrunnen,"Begas, Reinhold",Brunnen,Granit|Bronze|Brunnentechnik,1886-1891,"Spandauer Straße, Platz zwischen Rotem Rathaus, Marienkirche und Fernsehturm"
Q113509803,7844,https://bildhauerei-in-berlin.de/bildwerk/historischer-brunnen-7844/,Historischer Brunnen,,Brunnen,Marmor|Marmor|Eisen,1987,"Nicolai-Viertel, Nikolaikirchplatz 6, vor dem Restaurant Paddenwirt"
Q111008687,7845,https://bildhauerei-in-berlin.de/bildwerk/wappenbrunnen-7845/,Wappenbrunnen,"Thieme, Gerhard",Brunnen,Sandstein|Eisen|Sandstein|Bronze,1987,"Poststraße, Nicolaikirchhof, vor der Nicolaikirche"
Q113519479,7843,https://bildhauerei-in-berlin.de/bildwerk/schalenbrunnen-im-monbijoupark-7843/,Schalenbrunnen im Monbijoupark,,Brunnen,Bronze|Granit|Pflastersteine,1995,"Oranienburger Straße, Monbijoupark"
Q1018026,7839,https://bildhauerei-in-berlin.de/bildwerk/butt-bunnen-7839/,Butt-Bunnen,"Schirmer, Robert",Brunnen,Muschelkalk,1915-1916,"Bodestraße, an der Eisernen Brücke, Lustgarten westlich des Alten Museums"
Q113529077,7840,https://bildhauerei-in-berlin.de/bildwerk/fontaenenbrunnen-7840/,Fontänenbrunnen,,Brunnen,Muschelkalk,1998-2000,"Lustgarten, Südostecke nahe Straße am Dom, Karl-Liebknecht-Straße"
Q92041368,7837,https://bildhauerei-in-berlin.de/bildwerk/versinkende-mauer-brunnen-7837/,Versinkende Mauer (Brunnen),"Girot, Christophe",Brunnen,Beton|Granit|Ziegelstein|Pflastersteine|Stein,1992-1997,"Mitte, Invalidenstraße, Ecke Scharnhorststraße, Invalidenpark, Südhälfte"
Q113533349,7835,https://bildhauerei-in-berlin.de/bildwerk/kleine-liebessaeule-7835/,kleine Liebessäule,"Kühn, Achim",Brunnen,Pflastersteine|Kupferblech|Gold,1983-2003,"Dorothea-Schlegel-Platz, Westseite"
Q99976852,5272,https://bildhauerei-in-berlin.de/bildwerk/sitzender-junge-5272/,Sitzender Junge,"Stötzer, Werner",Freiplastik|Aktdarstellung,Granit|Bronze,1956,"Erich-Weinert-Straße, Hosemannstraße"
Q113535167,7836,https://bildhauerei-in-berlin.de/bildwerk/runder-brunnen-7836/,runder Brunnen,,Brunnen,Beton|Sandstein|Bronze,2001-2003,Hausvogteiplatz
Q113535436,7832,https://bildhauerei-in-berlin.de/bildwerk/wasserpumpe-und-brunnentrog-7832/,Wasserpumpe und Brunnentrog,,Brunnen,Eisen|Sandstein,1900,Arkonaplatz
Q113535718,7831,https://bildhauerei-in-berlin.de/bildwerk/wasserkaskaden-7831/,Wasserkaskaden,,Brunnen|Ensemble,Beton|Kunststein|Granit,1972,"Ehemalige Berliner Altstadt, ehemaliges Marx-Engels-Forum, westlich des Fernsehturms"
Q113541728,7805,https://bildhauerei-in-berlin.de/bildwerk/rathenaubrunnen-7805/,Rathenaubrunnen,,Brunnen|Brunnenfigur,Bronze,1928-1930,"Volkspark Rehberge, Carl-Leid-Weg"
Q113552961,7803,https://bildhauerei-in-berlin.de/bildwerk/nilpferdbrunnen-7803/,Nilpferdbrunnen,,Brunnen,Klinker|Sandstein,1983,Vinetaplatz
Q113563005,10191,https://bildhauerei-in-berlin.de/bildwerk/hektor-koepf-10191/,Hektor Köpf,"Lüpertz, Markus",Skulptur,Bronze,,"Am Kupfergraben, Monbijoubrücke, gegenüber des Bode-Museum"
Q113565576,5201,https://bildhauerei-in-berlin.de/bildwerk/truemmersaeule-5201/,Trümmersäule,"Schultze-Seehof, Gerhard",Stele,Beton|Trümmer|Beton,1954,"Max-Josef-Metzger-Platz, Müllerstraße (bis 1994 Courbièreplatz), Grünanlage"
Q113565584,7816,https://bildhauerei-in-berlin.de/bildwerk/max-josef-metzger-denkmal-7816/,Max-Josef-Metzger-Denkmal,"Dräger, Ajit Kai",Gedenkstele,Granit,1997,"Max-Josef-Metzger-Platz, Müllerstraße (bis 1994 Courbièreplatz), Grünanlage"
