QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q111744842,8026,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-ion-luca-caragiale-8026/,Denkmal für Ion Luca Caragiale,"Baraschi, Constantin",Büste,Stein|Kunststein|Stein,1955,Mühlenstraße 24
Q61769328,7885,https://bildhauerei-in-berlin.de/bildwerk/adelbert-von-chamisso-denkmal-7885/,Adelbert-von-Chamisso-Denkmal,"Moser, Julius",Denkmal|Büste,Granit|Granit|Marmor|Gold,1888,Monbijouplatz
Q61769305,7860,https://bildhauerei-in-berlin.de/bildwerk/hegel-denkmal-7860/,Hegel-Denkmal,"Blaeser, Gustav Hermann",Denkmal|Büste,Bronze|Muschelkalk|Granit,1870-1871,"Dorotheenstraße, Ecke Hegelplatz"
Q109654120,7811,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-e-t-a-hoffmann-7811/,Denkmal für E.T.A. Hoffmann,,Denkmal|Büste,Sandstein|Bronze,1978-1979,Gendarmenmarkt
Q111749665,7527,https://bildhauerei-in-berlin.de/bildwerk/portraetbueste-des-freiherr-vom-stein-7527/,Porträtbüste des Freiherr vom Stein,"Brockmeier, Heinrich",Büste,Bronze|Granit,1986-1987,"Steinplatz, Hardenbergstraße/Goethestraße/Uhlandstraße, Rasenfläche im südwestlichen Teil der Anlage"
Q111752768,7495,https://bildhauerei-in-berlin.de/bildwerk/portraitbueste-der-koenigin-luise-7495/,Portraitbüste der Königin Luise,,Büste|Denkmal,Bronze|Sandstein,1816-1822,"Schlosspark Charlottenburg, Luiseninsel, nördliche Spitze"
Q111765584,7139,https://bildhauerei-in-berlin.de/bildwerk/jan-amos-comenius-denkmal-7139/,Jan Amos Comenius-Denkmal,"Wehrmeister, Siegfried",Büste|Denkmal,Kalksandstein|Bronze,1991,"Comeniusplatz, nahe Marchlewskistraße, Ecke Am Comeniusplatz"
Q111781424,7131,https://bildhauerei-in-berlin.de/bildwerk/franz-mehring-denkmal-7131/,Franz-Mehring-Denkmal,"Apel, Heinrich",Büste|Denkmal,Klinker|Bronze|Bronze,1978,"Franz-Mehring.Platz, vor dem Gebäude der Rosa-Luxemburg-Stiftung, Franz-Mehring-Platz 1"
Q111785159,7126,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-karl-marx-7126/,Büstendenkmal Karl Marx,"Lammert, Will",Büste|Denkmal,Muschelkalk|Bronze|Bronze,1953,"Straußberger Platz, Ecke Karl-Marx-Allee"
Q56861988,7104,https://bildhauerei-in-berlin.de/bildwerk/koenig-friedrich-ii-denkmal-7104/,König-Friedrich II.-Denkmal,"Rauch, Christian Daniel",Büste|Denkmal,Granit|Marmor|Bronze,1848,"Volkspark Friedrichshain, Alter Hain, auf dem ""Plateau"""
Q111149151,6871,https://bildhauerei-in-berlin.de/bildwerk/bueste-friedrich-simon-archenhold-6871/,Büste Friedrich Simon Archenhold,"Balden, Theo",Büste|Denkmal,Granit,1961,"Alt-Treptow 1, Archenhold-Sternwarte, Grünfläche an der Sternwarte"
Q111792538,6856,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-gustav-meyer-denkmal-6856/,Büstendenkmal Gustav-Meyer-Denkmal,"Manthe, Albert",Büste|Denkmal,Marmor|Granit|Farbe,1889-1890,"Treptower Park, nahe Puschkinallee, an einem kleinen Weg zu einer großen Rasenfläche"
Q111792911,6715,https://bildhauerei-in-berlin.de/bildwerk/bueste-von-karl-foerster-6715/,Büste von Karl Foerster,"Baldamus, Senta",Büste|Denkmal,Bronze|Stahl|Granit,1961-1974,"Buckower Damm, Britzer Garten, vor dem Karl-Förster-Pavillon"
Q111793128,6703,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-ruediger-von-ilgen-6703/,Büstendenkmal Rüdiger von Ilgen,,Büste|Denkmal,Beton,1900,"Alt-Britz 73, Gutspark Britz, Westecke"
Q111801914,6535,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-albert-schweitzer-6535/,Denkmal für Albert Schweitzer,Unbekannt,Büste|Denkmal,Bronze|Klinker|Metall,1964,"Weiter Blick 36, Ecke Am Kinderdorf, Vorgarten"
Q111803232,6475,https://bildhauerei-in-berlin.de/bildwerk/bueste-peter-joseph-lenne-6475/,Büste Peter Joseph Lenné,,Büste|Denkmal,Bronze|Sandstein,1847,"Zoologischer Garten, an der nordöstlichen Seite der Lichtensteinbrücke"
Q111805311,6456,https://bildhauerei-in-berlin.de/bildwerk/bueste-ludwig-heck-6456/,Büste Ludwig Heck,"Fraenkel-Brauer, Else",Büste|Denkmal,Bronze|Sandstein|Sandstein,1955,"Zoologischer Garten, Dreisternpromenade, nahe des chinesischen Musikpavillons"
Q111827832,6458,https://bildhauerei-in-berlin.de/bildwerk/bueste-katharina-heinroth-6458/,Büste Katharina Heinroth,"Spilker, Heinz",Büste|Denkmal,Bronze|Muschelkalk|Sandstein,1979,"Zoologischer Garten, Dreisternpromenade, nahe des chinesischen Musikpavillons, am kleinen Hirschhaus"
Q111835440,6454,https://bildhauerei-in-berlin.de/bildwerk/buestendenkmal-lichtenstein-6454/,Büstendenkmal Lichtenstein,,Büste|Denkmal,Bronze|Sandstein,1990,"Zoologischer Garten, Dreisternpromenade, am kleinen Hirschhaus"
Q111850213,6455,https://bildhauerei-in-berlin.de/bildwerk/bueste-heinrich-bodinus-6455/,Büste Heinrich Bodinus,"Fraenkel-Brauer, Else",Büste|Denkmal,Bronze|Sandstein|Kunststein,1955,"Zoologischer Garten, Dreisternpromenade, nahe des chinesischen Musikpavillons am kleinen Hirschhaus"
