QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q113322839,4810,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-guenter-neumann-4810/,Gedenkstein Günter Neumann,"Haacke, Harald",Gedenkstein|Denkmal,Bronze|Kunststein,1976,"Prellerweg, Munsterdamm, auf dem Insulaner, am Kreuzungspunkt der Wege von Rodelbahn und Sternwarte"
Q113324682,4741,https://bildhauerei-in-berlin.de/bildwerk/adler-im-horst-4741/,Adler im Horst,"Esser, Max",Tierfigur|Figurengruppe|Denkmal,Bronze|Muschelkalk,1935,"Lüdenscheider Weg 2-4 , Nähe Haselhorster Damm, im Blockinnenbereich am Kinderspielplatz"
Q63283813,7864,https://bildhauerei-in-berlin.de/bildwerk/marx-engels-forum-7864/,Marx-Engels-Forum,"Engelhardt, Ludwig",Denkmal|Figurengruppe|Relief,Granit|Bronze|Marmor|Edelstahl|Bronze,1986,"Spandauer Straße, Grünanlage am Kupfergraben (ehem. Altstadt Berlin, ehem. Marx-Engels-Forum, Westseite)"
Q113330286,4719,https://bildhauerei-in-berlin.de/bildwerk/gedenkstele-fuer-carl-herz-4719/,Gedenkstele für Carl Herz,"Dunkel, Joachim",Gedenkstele|Denkmal,Bronze,1985,"Yorckstraße 4-11, Vorplatz des Rathauses Kreuzberg"
Q154987,4706,https://bildhauerei-in-berlin.de/bildwerk/siegessaeule-4706/,Siegessäule,"Drake, Friedrich",Denkmal|Erinnerungsmal,Granit|Sandstein|Granit|Granit|Granit|Granit|Marmor|Bronze|Bronze|Mosaik|Blattgold,1869-1876,"Großer Tiergarten, Großer Stern, Platzmitte"
Q113341316,4705,https://bildhauerei-in-berlin.de/bildwerk/koenig-friedrich-wilhelm-iii-von-preussen-4705/,König Friedrich Wilhelm III. von Preußen,"Drake, Friedrich",Denkmal|Standbild,Beton|Beton|Marmor|Eisen,1841-1849,"Großer Tiergarten, Ahornsteig nahe der Luiseninsel"
Q24089142,4685,https://bildhauerei-in-berlin.de/bildwerk/reiterstandbild-friedrich-wilhelms-iv-4685/,Reiterstandbild Friedrich Wilhelms IV.,"Calandrelli, Alexander",Denkmal|Bauplastik,Bronze,1882-1886,"Bodestraße, Alte Nationalgalerie"
Q113365967,5240,https://bildhauerei-in-berlin.de/bildwerk/windobjekt-5240/,Windobjekt,"Sinken, Hein",Kinetische Kunst|Abstrakte Plastik,Edelstahl,1976,"Hänselstraße 6, vor der Schule in der Köllnischen Heide"
Q111008582,6918,https://bildhauerei-in-berlin.de/bildwerk/lesender-arbeiter-6918/,Lesender Arbeiter,"Engelhardt, Ludwig",Freiplastik|Genrefigur,Bronze|Beton|Granit,1961,"Hänselstraße 14, Vorgarten der Grundschule am Heidekampgraben"
Q113366339,8686,https://bildhauerei-in-berlin.de/bildwerk/gedenkstein-fuer-willi-saenger-8686/,Gedenkstein für Willi Sänger,,Denkmal,Stein,1987,"Köpenicker Landstraße 186, Plänterwald"
Q113382896,4679,https://bildhauerei-in-berlin.de/bildwerk/jung-wilhelm-4679/,Jung-Wilhelm,"Brütt, Adolf",Denkmal|Standbild,Marmor,1902-1904,"Tiergartenstraße, Großer Tiergarten, Luiseninsel"
Q113384772,4652,https://bildhauerei-in-berlin.de/bildwerk/unseren-brieftauben-erneuerung-4652/,Unseren Brieftauben (Erneuerung),,Denkmal|Tierfigur|Figurengruppe,Granit|Bronze,1963,Falkenseer Chaussee / Flankenschanze / Roonstr.
Q679124,4617,https://bildhauerei-in-berlin.de/bildwerk/bismarck-denkmal-4617/,Bismarck-Denkmal,"Begas, Reinhold",Denkmal|Denkmalanlage,Bronze|Granit,1897-1901,"Großer Tiergarten, Großer Stern, Nordseite"
Q17351109,4611,https://bildhauerei-in-berlin.de/bildwerk/alexander-von-humboldt-4611/,Alexander von Humboldt,"Begas, Reinhold",Denkmal,Marmor|Granit,1882-1983,Unter den Linden östlich vom Eingang der Humboldt-Universität
Q113406480,4597,https://bildhauerei-in-berlin.de/bildwerk/geistkaempfer-4597/,Geistkämpfer,"Barlach, Ernst",Denkmal|Mahnmal,Bronze|Steinzeug,1928|1990,"Stargarder Straße 77, Gethsemanekirche"
Q112121038,4548,https://bildhauerei-in-berlin.de/bildwerk/lortzingdenkmal-4548/,Lortzingdenkmal,"Eberlein, Heinrich Gustav",Denkmal|Standbild,Marmor,1904-1906,Großer Tiergarten in der Nähe der Rousseau-Insel
Q108601735,4547,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuerst-von-hardenberg-4547/,Denkmal Fürst von Hardenberg,,Denkmal|Standbild,Bronze|Granit,1904-1907|2006,"Niederkirchner Straße 5, vor dem Berliner Abgeordnetenhaus (ehem. Preußischer Landtag)"
Q113454248,10159,https://bildhauerei-in-berlin.de/bildwerk/zierbrunnen-mit-fischreiher-10159/,Zierbrunnen mit Fischreiher,"Szelinski-Singer, Katharina",Brunnen|Brunnenfigur,Kunststein|Travertin|Kunststein|Travertin|Kunststein,1956,"Buckower Damm 148, Parkfriedhof Neukölln"
Q113455215,9858,https://bildhauerei-in-berlin.de/bildwerk/barbarossa-brunnen-9858/,Barbarossa-Brunnen,"Poser, Paul",Brunnen,Muschelkalk|Granit,1926-1927,"Welfenallee, Olwenstraße, Ruheplatz Barbarossahöhe, Paul-Poser-Platz"
Q113457305,9824,https://bildhauerei-in-berlin.de/bildwerk/felsenbrunnen-9824/,Felsenbrunnen,"Breuer, Hartmut",Brunnen,Naturstein|Findling|Granit,1978,"Gorkistraße 1, Anfang der Fußgängerzone zw. Nr.1 und 100"
