QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q112813198,6442,https://bildhauerei-in-berlin.de/bildwerk/rette-die-baeume-rette-den-wald-6442/,"Rette die Bäume, Rette den Wald",Unbekannt,Denkmal|Aktionskunst,Granit,2000,"Kleiner Tiergarten, Stromstraße, Grünanlage"
Q112827011,8682,https://bildhauerei-in-berlin.de/bildwerk/denkmal-fuer-ernst-thaelmann-8682/,Denkmal für Ernst Thälmann,"Kies, Hans",Denkmalanlage|Relief|Denkmal,Klinker|Bronze,1966,"Straße zum FEZ 2, FEZ, Nordteil, an der Waldkita Wühlmäuse"
Q112842595,6779,https://bildhauerei-in-berlin.de/bildwerk/zwei-fohlen-6779/,Zwei Fohlen,"Drake, Heinrich",Tierfigur|Freiplastik|Figurengruppe,Bronze|Kalkstein,1936-1937,"An der Wuhlheide 197, FEZ Strandbad Köpenick"
Q112873672,6937,https://bildhauerei-in-berlin.de/bildwerk/fischerin-6937/,Fischerin,"Losowski, Alfons",Freiplastik|Skulptur,Granit|Sandstein,1986,"Hainstraße 37, am Spreeufer"
Q112876517,6423,https://bildhauerei-in-berlin.de/bildwerk/standbilder-peter-beuth-und-wilhelm-von-humboldt-6423/,Standbilder Peter Beuth und Wilhelm von Humboldt,"Blaeser, Gustav Hermann",Figurengruppe|Denkmal,Bronze,1874-1878,"Burggrafenstraße 6, vor dem Verwaltungsgebäude des DIN"
Q112879384,6783,https://bildhauerei-in-berlin.de/bildwerk/kugelbrunnen-6783/,Kugelbrunnen,,Brunnen,Beton|Beton|Steinzeug|Stahl|Granit,1979,"Straße zum FEZ 2, FEZ-Berlin, im Vorgarten, links"
Q110992565,6394,https://bildhauerei-in-berlin.de/bildwerk/gustav-hartmann-denkmal-6394/,Gustav-Hartmann-Denkmal,"Rommel, Gerhard",Denkmal,Eisen|Granit|Farbe,1998-2000,"Potsdamer Straße, Grünstreifen südlich der Straßenkreuzung vor der Potsdamer Brücke"
Q24976712,6306,https://bildhauerei-in-berlin.de/bildwerk/fontane-denkmal-6306/,Fontane-Denkmal,"Klein, Max",Denkmal,Marmor|Zement,1908-1910,"Großer Tiergarten, Südbereich, nördlich der Thomas-Dehler-Straße"
Q112901913,6304,https://bildhauerei-in-berlin.de/bildwerk/graefe-denkmal-6304/,Graefe-Denkmal,"Hobbing, Edzard",Denkmal|Stele,Edelstahl|Schiefer,1970,"Händelallee, westlich der Neuen Kaiser-Friedrich-Gedächtniskirche an der Klopstockstraße, im Park"
Q72595504,6298,https://bildhauerei-in-berlin.de/bildwerk/koenigin-luise-denkmal-6298/,Königin Luise-Denkmal,"Encke, Erdmann",Denkmal,Marmor|Granit|Schmiedeeisen,1876-1880,"Großer Tiergarten, Große Luiseninsel, am Ahornsteig"
Q112944699,8059,https://bildhauerei-in-berlin.de/bildwerk/victor-jara-8059/,Victor Jara,"Goettsche, Hans-Peter",Freiplastik|Denkmal,Bronze,1975,"Alfred-Randt-Straße 56, Müggelschlösschen-Schule"
Q112944745,8103,https://bildhauerei-in-berlin.de/bildwerk/springbrunnen-8103/,Springbrunnen,,Brunnen,Klinker,2002-2003,"Müggelheimer Damm, Salvador-Allende-Straße, Volkspark Köpenick, Ostrand"
Q112116788,6269,https://bildhauerei-in-berlin.de/bildwerk/denkmaeler-der-neuen-koenigsbruecke-6269/,Denkmäler der Neuen Königsbrücke,"Brodwolf, Ludwig",Denkmal|Kriegerdenkmal|Figurengruppe|Bauplastik,Sandstein,1864-1874,"Großer Tiergarten, Rüsternallee, südlich des Kurfürstenplatzes"
Q112116786,6268,https://bildhauerei-in-berlin.de/bildwerk/denkmaeler-der-neuen-koenigsbruecke-6268/,Denkmäler der Neuen Königsbrücke,"Schweinitz, Rudolf",Denkmal|Kriegerdenkmal|Figurengruppe|Bauplastik,Sandstein,1864-1874,"Großer Tiergarten, Rüsternallee, südlich des Kurfüstenplatzes"
Q112116782,6267,https://bildhauerei-in-berlin.de/bildwerk/denkmaeler-der-neuen-koenigsbruecke-6267/,Denkmäler der Neuen Königsbrücke,"Wittig, Hermann",Denkmal|Kriegerdenkmal|Figurengruppe|Bauplastik,Sandstein,1864-1874,"Großer Tiergarten, Rüsternallee südlich des Kurfürstenplatzes"
Q112116781,4684,https://bildhauerei-in-berlin.de/bildwerk/denkmaeler-der-neuen-koenigsbruecke-4684/,Denkmäler der Neuen Königsbrücke,"Calandrelli, Alexander",Denkmal|Kriegerdenkmal|Figurengruppe,Sandstein,1864-1874,"Großer Tiergarten, südwestlich der Kongresshalle an einer Wegekreuzung am Wasserlauf"
Q112116789,6268,https://bildhauerei-in-berlin.de/bildwerk/denkmaeler-der-neuen-koenigsbruecke-6268/,Denkmäler der Neuen Königsbrücke,"Schweinitz, Rudolf",Denkmal|Kriegerdenkmal|Figurengruppe|Bauplastik,Sandstein,1864-1874,"Großer Tiergarten, Rüsternallee, südlich des Kurfüstenplatzes"
Q1392131,6263,https://bildhauerei-in-berlin.de/bildwerk/denkmal-deutsche-einheit-6263/,Denkmal Deutsche Einheit,Unbekannt,Denkmal,Granit|Bronze|Stahl|Glas|Beton|Gewebe (Textilien),1990-1999,"Platz der Republik, vor der westfassade des Reichstagsgebäudes, links vor dem Eingang"
Q112963773,6100,https://bildhauerei-in-berlin.de/bildwerk/kriegerdenkmal-des-ehem-kaiser-franz-garde-grenadier-regiments-nr-6100/,Kriegerdenkmal des ehem. Kaiser Franz-Garde-Grenadier-Regiments Nr. 2,"Encke, Eberhard",Kriegerdenkmal|Gefallenendenkmal|Denkmal,Muschelkalk|Beton,1919-1924,"Baerwaldstraße 64-67, Mittelstreifen"
