QID,BiB_ID,BiB_URL,title,creator,objectName,material,productionDate,location
Q114220313,5269,https://bildhauerei-in-berlin.de/bildwerk/eule-5269/,Eule,"Stolterfoht, Egon",Brunnen,Muschelkalk|Bronze,1930-1965,"Theodor-Francke-Straße, Franckepark"
Q56653847,5263,https://bildhauerei-in-berlin.de/bildwerk/paech-brunnen-5263/,Paech-Brunnen,"Haacke-Stamm, Brigitte",Brunnen|Brunnenfigur,Bronze|Beton,1979-1982,"Stephanstraße 38-43, Pulitzstraße, Stromstraße"
Q114235212,5262,https://bildhauerei-in-berlin.de/bildwerk/zeli-brunnen-5262/,Zeli-Brunnen,"Haacke-Stamm, Brigitte",Brunnen,Bronze|Granit|Beton|Brunnentechnik,1982-1983,"Martin-Buber-Straße, Potsdamer Straße"
Q114238441,5224,https://bildhauerei-in-berlin.de/bildwerk/storchenbrunnen-5224/,Storchenbrunnen,"Seger, Ernst",Brunnen,Bronze|Muschelkalk|Beton,1931,Adolf-Scheidt-Platz
Q114240158,5222,https://bildhauerei-in-berlin.de/bildwerk/tanz-auf-dem-vulkan-5222/,Tanz auf dem Vulkan,"Seefried-Matejkowa, Ludmila",Brunnen,Bronze|Granit|Granit,1987,Nettelbeckplatz
Q114244348,5205,https://bildhauerei-in-berlin.de/bildwerk/brunnenplastik-5205/,Brunnenplastik,"Schultze-Seehof, Gerhard",Brunnen,Beton|Granit,1971,"Alt-Tempelhof, Mittelpromenade-West (Dorfaue)"
Q114245604,5197,https://bildhauerei-in-berlin.de/bildwerk/brunnen-mit-metallplastik-5197/,Brunnen mit Metallplastik,"Schötschel, Friedrich",Brunnen,Edelstahl|Kiesel|Zement|Kunststein|Kunststoff,1976,"Bernhard-Bästlein-Straße 3, Gesellschaftliches Zentrum"
Q114246465,5198,https://bildhauerei-in-berlin.de/bildwerk/pfauenbrunnen-5198/,Pfauenbrunnen,"Schötschel-Gabriel, Margit",Brunnen|Tierfigur|Figurengruppe,Bronze|Eisen|Naturstein,1975-1979,"Holzmarktstraße, Ecke Alexanderstraße"
Q111152788,5196,https://bildhauerei-in-berlin.de/bildwerk/vogelbrunnen-5196/,Vogelbrunnen,"Schönfelder, Baldur",Brunnen,Edelstahl|Kupfer|Kunststein|Brunnentechnik,1978-1981,"Judith-Auer-Straße 4-9, nördlich Castello"
Q2558284,5181,https://bildhauerei-in-berlin.de/bildwerk/erdkugelbrunnen-5181/,Erdkugelbrunnen,"Schmettau, Joachim",Brunnen|Ensemble|Brunnenfigur,Beton|Bronze|Granit|Brunnentechnik|Glas,1982-1984,"Breitscheidplatz, Budapester Straße"
Q114269708,5171,https://bildhauerei-in-berlin.de/bildwerk/fontanebogen-5171/,Fontanebogen,"Scharfenberg, Emanuel",Brunnen,Bronze|Naturstein,1992,"Königshorsterstraße 6, Marktplatz im Märkischen Viertel, vor dem Fontane-Haus "
Q114290428,5165,https://bildhauerei-in-berlin.de/bildwerk/brunnen-5165/,Brunnen,"Sax, Ursula",Brunnen,Edelstahl,1980-1981,Klosterstraße 38
Q114295312,5162,https://bildhauerei-in-berlin.de/bildwerk/brunnenplastik-5162/,Brunnenplastik,"Sax, Ursula",Brunnen,Bronze|Brunnentechnik,1974,"Martin-Buber-Straße,Ecke Kirchstraße, neben dem Rathaus Zehlendorf"
Q114296000,5146,https://bildhauerei-in-berlin.de/bildwerk/fuenfteiliger-brunnen-5146/,Fünfteiliger Brunnen,"Rose, Max",Brunnen,Granit|Beton|Klinker,1977,"Wilhelmsruher Damm, vor Haus Nr. 171"
Q114309510,5138,https://bildhauerei-in-berlin.de/bildwerk/biberbrunnen-5138/,Biberbrunnen,"Rose, Max",Brunnen|Tierfigur,Kalkstein|Kalkstein|Granit|Metall|Brunnentechnik,1965,Humboldthain
Q114314842,5134,https://bildhauerei-in-berlin.de/bildwerk/seerosenbrunnen-5134/,Seerosenbrunnen,"Roehl, Rüdiger",Brunnen,Beton|Sandstein|Bronze|Stahl,1986,"Friedenstraße 68, Ecke Palisadenstraße"
Q871941,5109,https://bildhauerei-in-berlin.de/bildwerk/maerchenbrunnen-5109/,Märchenbrunnen,"Rauch, Josef",Brunnen|Ensemble,Travertin|Kalkstein|Schmiedeeisen|Sandstein|Holz|Brunnentechnik,1913,Volkspark Friedrichshain
Q1468475,5094,https://bildhauerei-in-berlin.de/bildwerk/gorgobrunnen-5094/,Gorgobrunnen,"Poirier, Patrick",Brunnen,Bronze|Marmor|Stahl|Granit|Beton,1987,Henriettenplatz
Q114345584,5091,https://bildhauerei-in-berlin.de/bildwerk/fuenf-wasser-tiegel-5091/,Fünf-Wasser-Tiegel,"Pfarr, Paul",Brunnen,Granit|Granit|Bronze|Edelstahl,1990,Marheinekeplatz
Q114346526,5083,https://bildhauerei-in-berlin.de/bildwerk/katastrophenbrunnen-5083/,Katastrophenbrunnen,"Paolozzi, Eduardo",Brunnen,Stahl,1985,"Britzer Garten, See-Bereich, Pumpstation"
